planning_area,transacted_price,area_sqm,property_type,tenure,project_age_years,sale_month,project_name,street_name,postal_district,market_segment,floor_level,type_of_sale,type_of_area,unit_price_psf,unit_price_psm,source_quality
SERANGOON,3260000,151.2,Terrace House,999 yrs lease commencing from 1878,5.0,2022-02,PALM GROVE TERRACE,PALM GROVE AVENUE,19,Outside Central Region,-,Resale,Land,2003,21561,not_clean
SERANGOON,3300000,201.6,Terrace House,Freehold,5.0,2022-02,SUMMER PLACE,SUMMER PLACE,19,Outside Central Region,-,Resale,Land,1521,16369,not_clean
SERANGOON,3001000,194.4,Terrace House,Freehold,5.0,2022-02,CHARLTON PARK,JALAN LEPAS,19,Outside Central Region,-,Resale,Land,1434,15437,not_clean
SERANGOON,4880000,241.4,Terrace House,999 yrs lease commencing from 1954,5.0,2022-02,SERANGOON GARDEN ESTATE,MEDWAY DRIVE,19,Outside Central Region,-,Resale,Land,1878,20215,not_clean
SERANGOON,4830000,245.6,Terrace House,999 yrs lease commencing from 1956,5.0,2022-01,SERANGOON GARDEN ESTATE,CHISELHURST GROVE,19,Outside Central Region,-,Resale,Land,1827,19666,not_clean
SERANGOON,4350000,325.2,Semi-Detached House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,JALAN SONGKET,19,Outside Central Region,-,Resale,Land,1243,13376,not_clean
SERANGOON,3060000,137.8,Terrace House,Freehold,5.0,2022-01,GOLDEN HILL ESTATE,LI HWAN PLACE,19,Outside Central Region,-,Resale,Land,2063,22206,not_clean
SERANGOON,3500000,242.1,Terrace House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,HIGHLAND ROAD,19,Outside Central Region,-,Resale,Land,1343,14457,not_clean
SERANGOON,2408000,200.6,Terrace House,99 yrs lease commencing from 1996,5.0,2022-01,TIVOLI GARDENS,TAI KENG PLACE,19,Outside Central Region,-,Resale,Land,1115,12004,not_clean
SERANGOON,4750000,449.5,Terrace House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,LORONG AH SOO,19,Outside Central Region,-,Resale,Land,982,10567,not_clean
SERANGOON,2800000,154.2,Terrace House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,ROSYTH ROAD,19,Outside Central Region,-,Resale,Land,1687,18158,not_clean
SERANGOON,2085000,158.3,Terrace House,99 yrs lease commencing from 1996,5.0,2022-01,PARRY GREEN,LIMBOK TERRACE,19,Outside Central Region,-,Resale,Land,1224,13171,not_clean
SERANGOON,2750000,150.4,Terrace House,Freehold,5.0,2022-01,ALWYN PARK,HONG LEE PLACE,19,Outside Central Region,-,Resale,Land,1699,18285,not_clean
SERANGOON,6928000,441.8,Detached House,999 yrs lease commencing from 1954,5.0,2022-01,SERANGOON GARDEN ESTATE,LUDLOW PLACE,19,Outside Central Region,-,Resale,Land,1457,15681,not_clean
SERANGOON,4800000,203.1,Terrace House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,FLORENCE CLOSE,19,Outside Central Region,-,Resale,Land,2196,23634,not_clean
SERANGOON,4750000,170.9,Terrace House,999 yrs lease commencing from 1955,5.0,2022-01,SERANGOON GARDEN ESTATE,CHISELHURST GROVE,19,Outside Central Region,-,Resale,Land,2582,27794,not_clean
SERANGOON,4000000,200.5,Terrace House,999 yrs lease commencing from 1954,5.0,2022-01,LANDED HOUSING DEVELOPMENT,TAVISTOCK AVENUE,19,Outside Central Region,-,Resale,Land,1853,19950,not_clean
SERANGOON,6000000,441.2,Detached House,999 yrs lease commencing from 1953,5.0,2022-01,SERANGOON GARDEN ESTATE,CHEPSTOW CLOSE,19,Outside Central Region,-,Resale,Land,1263,13599,not_clean
SERANGOON,5750000,259.7,Semi-Detached House,999 yrs lease commencing from 1955,5.0,2022-01,SERANGOON GARDEN ESTATE,BROCKHAMPTON DRIVE,19,Outside Central Region,-,Resale,Land,2057,22141,not_clean
SERANGOON,2920000,166.6,Terrace House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,LORONG CHUAN,19,Outside Central Region,-,Resale,Land,1628,17527,not_clean
SERANGOON,2970000,220.3,Terrace House,999 yrs lease commencing from 1883,5.0,2022-01,LANDED HOUSING DEVELOPMENT,POH HUAT ROAD,19,Outside Central Region,-,Resale,Land,1252,13482,not_clean
SERANGOON,2600000,150.8,Terrace House,947 yrs lease commencing from 1934,5.0,2022-01,FLORENCE GARDENS,FLORENCE ROAD,19,Outside Central Region,-,Resale,Land,1602,17241,not_clean
SERANGOON,5480000,251.1,Terrace House,999 yrs lease commencing from 1954,5.0,2022-01,SERANGOON GARDEN ESTATE,HYTHE ROAD,19,Outside Central Region,-,Resale,Land,2027,21824,not_clean
SERANGOON,3510000,263.5,Terrace House,999 yrs lease commencing from 1955,5.0,2022-01,SERANGOON GARDEN ESTATE,WORTHING ROAD,19,Outside Central Region,-,Resale,Land,1238,13321,not_clean
SERANGOON,3800000,247.4,Terrace House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,MARLENE AVENUE,19,Outside Central Region,-,Resale,Land,1427,15360,not_clean
SERANGOON,3800000,187.9,Terrace House,Freehold,5.0,2022-01,CHUAN TERRACE,CHUAN TERRACE,19,Outside Central Region,-,Resale,Land,1879,20224,not_clean
SERANGOON,3350000,260.0,Terrace House,999 yrs lease commencing from 1955,5.0,2022-01,SERANGOON GARDEN ESTATE,BLANDFORD DRIVE,19,Outside Central Region,-,Resale,Land,1197,12885,not_clean
SERANGOON,4200000,218.3,Terrace House,Freehold,5.0,2022-01,GOLDENHILL VILLAS,GOLDEN DRIVE,19,Outside Central Region,-,Resale,Land,1787,19240,not_clean
SERANGOON,2800000,192.0,Terrace House,Freehold,5.0,2022-01,LANDED HOUSING DEVELOPMENT,JALAN LYE KWEE,19,Outside Central Region,-,Resale,Land,1355,14583,not_clean
SERANGOON,3180000,200.8,Terrace House,999 yrs lease commencing from 1954,5.0,2022-01,SERANGOON GARDEN ESTATE,KINGSWEAR AVENUE,19,Outside Central Region,-,Resale,Land,1471,15837,not_clean
SERANGOON,3780000,169.0,Terrace House,999 yrs lease commencing from 1883,5.0,2021-12,PARRYVILLE,POH HUAT DRIVE,19,Outside Central Region,-,Resale,Land,2078,22367,not_clean
SERANGOON,5880000,344.5,Semi-Detached House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,GLASGOW ROAD,19,Outside Central Region,-,Resale,Land,1586,17068,not_clean
SERANGOON,2500000,211.4,Terrace House,99 yrs lease commencing from 1994,5.0,2021-12,PARK VILLAS,PARK VILLAS GREEN,19,Outside Central Region,-,Resale,Land,1099,11826,not_clean
SERANGOON,6200000,445.6,Semi-Detached House,999 yrs lease commencing from 1953,5.0,2021-12,SERANGOON GARDEN ESTATE,CHEPSTOW CLOSE,19,Outside Central Region,-,Resale,Land,1293,13914,not_clean
SERANGOON,2100000,150.8,Terrace House,99 yrs lease commencing from 1996,5.0,2021-12,HENLEY GARDENS,JALAN ARIF,19,Outside Central Region,-,Resale,Land,1294,13926,not_clean
SERANGOON,4218000,322.1,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,JALAN RINDU,19,Outside Central Region,-,Resale,Land,1217,13095,not_clean
SERANGOON,4070000,289.1,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,LORONG CHUAN,19,Outside Central Region,-,Resale,Land,1308,14078,not_clean
SERANGOON,4690000,260.1,Terrace House,999 yrs lease commencing from 1955,5.0,2021-12,SERANGOON GARDEN ESTATE,BORTHWICK DRIVE,19,Outside Central Region,-,Resale,Land,1675,18032,not_clean
SERANGOON,4250000,246.6,Semi-Detached House,999 yrs lease commencing from 1955,5.0,2021-12,SERANGOON GARDEN ESTATE,BERWICK DRIVE,19,Outside Central Region,-,Resale,Land,1601,17234,not_clean
SERANGOON,4728000,389.5,Semi-Detached House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,ST. XAVIER'S LANE,19,Outside Central Region,-,Resale,Land,1128,12139,not_clean
SERANGOON,5800000,398.3,Detached House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,JALAN TENON,19,Outside Central Region,-,Resale,Land,1353,14562,not_clean
SERANGOON,3580000,330.3,Semi-Detached House,999 yrs lease commencing from 1875,5.0,2021-12,LANDED HOUSING DEVELOPMENT,ST. ANNE'S WOOD,19,Outside Central Region,-,Resale,Land,1007,10839,not_clean
SERANGOON,5128000,279.0,Terrace House,999 yrs lease commencing from 1954,5.0,2021-12,SERANGOON GARDEN ESTATE,BRIDPORT AVENUE,19,Outside Central Region,-,Resale,Land,1708,18380,not_clean
SERANGOON,3280000,351.1,Semi-Detached House,99 yrs lease commencing from 1997,5.0,2021-12,CHUAN GREEN,CHUAN DRIVE,19,Outside Central Region,-,Resale,Land,868,9342,not_clean
SERANGOON,3320000,160.5,Terrace House,Freehold,5.0,2021-12,FENGLI GARDENS,LORONG ONG LYE,19,Outside Central Region,-,Resale,Land,1922,20685,not_clean
SERANGOON,6350000,439.7,Detached House,999 yrs lease commencing from 1875,5.0,2021-12,LANDED HOUSING DEVELOPMENT,JALAN ARIF,19,Outside Central Region,-,Resale,Land,1342,14442,not_clean
SERANGOON,4058000,261.2,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,JALAN MASTULI,19,Outside Central Region,-,Resale,Land,1443,15536,not_clean
SERANGOON,6200000,392.4,Semi-Detached House,999 yrs lease commencing from 1956,5.0,2021-12,SERANGOON GARDEN ESTATE,CARISBROOKE GROVE,19,Outside Central Region,-,Resale,Land,1468,15800,not_clean
SERANGOON,7500000,445.9,Detached House,999 yrs lease commencing from 1953,5.0,2021-12,SERANGOON GARDEN ESTATE,RIPLEY CRESCENT,19,Outside Central Region,-,Resale,Land,1563,16820,not_clean
SERANGOON,3120000,200.9,Terrace House,999 yrs lease commencing from 1954,5.0,2021-12,SERANGOON GARDEN ESTATE,BRIDPORT AVENUE,19,Outside Central Region,-,Resale,Land,1443,15530,not_clean
SERANGOON,2280000,150.0,Terrace House,99 yrs lease commencing from 1994,5.0,2021-12,PARK VILLAS,PARK VILLAS GREEN,19,Outside Central Region,-,Resale,Land,1412,15200,not_clean
SERANGOON,3300000,187.4,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,JOO HONG ROAD,19,Outside Central Region,-,Resale,Land,1636,17609,not_clean
SERANGOON,8088800,439.5,Detached House,999 yrs lease commencing from 1953,5.0,2021-12,SERANGOON GARDEN ESTATE,ALNWICK ROAD,19,Outside Central Region,-,Resale,Land,1710,18405,not_clean
SERANGOON,2700000,168.8,Terrace House,99 yrs lease commencing from 2011,5.0,2021-12,HAUS@SERANGOON GARDEN,SERANGOON GARDEN RISE,19,Outside Central Region,-,Resale,Land,1486,15995,not_clean
SERANGOON,2600000,119.0,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,HOW SUN AVENUE,19,Outside Central Region,-,Resale,Land,2030,21849,not_clean
SERANGOON,3218000,156.3,Terrace House,999 yrs lease commencing from 1877,5.0,2021-12,PARRY PARK,PARRY VIEW,19,Outside Central Region,-,Resale,Land,1913,20589,not_clean
SERANGOON,5588000,371.8,Detached House,999 yrs lease commencing from 1883,5.0,2021-12,FORTUNA GARDENS,DA SILVA LANE,19,Outside Central Region,-,Resale,Land,1396,15030,not_clean
SERANGOON,5350000,410.6,Detached House,999 yrs lease commencing from 1874,5.0,2021-12,VERDURE VILLAS,PONGGOL TWENTY-FOURTH AVENUE,19,Outside Central Region,-,Resale,Land,1210,13030,not_clean
SERANGOON,3355000,167.2,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,JALAN MASTULI,19,Outside Central Region,-,Resale,Land,1864,20066,not_clean
SERANGOON,4700000,370.7,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,LORONG GAMBIR,19,Outside Central Region,-,Resale,Land,1178,12679,not_clean
SERANGOON,5780000,251.1,Semi-Detached House,999 yrs lease commencing from 1955,5.0,2021-12,SERANGOON GARDEN ESTATE,HYTHE ROAD,19,Outside Central Region,-,Resale,Land,2138,23019,not_clean
SERANGOON,3220000,205.8,Terrace House,999 yrs lease commencing from 1953,5.0,2021-12,SERANGOON GARDEN ESTATE,PENSHURST PLACE,19,Outside Central Region,-,Resale,Land,1454,15646,not_clean
SERANGOON,3280000,187.8,Terrace House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,LIM TUA TOW ROAD,19,Outside Central Region,-,Resale,Land,1623,17465,not_clean
SERANGOON,2318000,199.4,Terrace House,99 yrs lease commencing from 1996,5.0,2021-12,TAI KENG VILLAS,JALAN KELICHAP,19,Outside Central Region,-,Resale,Land,1080,11625,not_clean
SERANGOON,3700000,155.3,Terrace House,999 yrs lease commencing from 1883,5.0,2021-12,LANDED HOUSING DEVELOPMENT,KANG CHOO BIN ROAD,19,Outside Central Region,-,Resale,Land,2213,23825,not_clean
SERANGOON,2820000,178.8,Terrace House,999 yrs lease commencing from 1878,5.0,2021-12,LANDED HOUSING DEVELOPMENT,SIRAT ROAD,19,Outside Central Region,-,Resale,Land,1465,15772,not_clean
SERANGOON,3180000,284.4,Terrace House,99 yrs lease commencing from 1997,5.0,2021-12,CHUAN GREEN,CHUAN DRIVE,19,Outside Central Region,-,Resale,Land,1039,11181,not_clean
SERANGOON,5225888,223.6,Semi-Detached House,Freehold,5.0,2021-12,LANDED HOUSING DEVELOPMENT,KOVAN CLOSE,19,Outside Central Region,-,New Sale,Land,2171,23372,not_clean
SERANGOON,3680000,212.3,Terrace House,999 yrs lease commencing from 1881,5.0,2021-12,LANDED HOUSING DEVELOPMENT,JALAN LIMBOK,19,Outside Central Region,-,Resale,Land,1610,17334,not_clean
SERANGOON,4330000,282.5,Terrace House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,KOVAN ROAD,19,Outside Central Region,-,Resale,Land,1424,15327,not_clean
SERANGOON,3950000,194.1,Terrace House,Freehold,5.0,2021-11,TAI KENG GARDENS,TAI KENG GARDENS,19,Outside Central Region,-,Resale,Land,1891,20350,not_clean
SERANGOON,2030000,155.0,Terrace House,99 yrs lease commencing from 1996,5.0,2021-11,PARRY GREEN,LIMBOK TERRACE,19,Outside Central Region,-,Resale,Land,1217,13097,not_clean
SERANGOON,3999999,334.0,Semi-Detached House,Freehold,5.0,2021-11,VILLA PONDER ROSA,LORONG ONG LYE,19,Outside Central Region,-,Resale,Land,1113,11976,not_clean
SERANGOON,3450000,188.5,Terrace House,Freehold,5.0,2021-11,VILLA PONDER ROSA,LORONG ONG LYE,19,Outside Central Region,-,Resale,Land,1700,18302,not_clean
SERANGOON,6180000,395.0,Detached House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,CHARLTON LANE,19,Outside Central Region,-,Resale,Land,1454,15646,not_clean
SERANGOON,4730000,359.6,Semi-Detached House,999 yrs lease commencing from 1876,5.0,2021-11,LANDED HOUSING DEVELOPMENT,GLASGOW ROAD,19,Outside Central Region,-,Resale,Land,1222,13154,not_clean
SERANGOON,4200000,300.3,Semi-Detached House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,ST. HELIER'S AVENUE,19,Outside Central Region,-,Resale,Land,1299,13986,not_clean
SERANGOON,5278000,364.7,Semi-Detached House,Freehold,5.0,2021-11,GOLDEN HILL ESTATE,LI HWAN VIEW,19,Outside Central Region,-,Resale,Land,1344,14472,not_clean
SERANGOON,5100000,388.9,Semi-Detached House,999 yrs lease commencing from 1954,5.0,2021-11,SERANGOON GARDEN ESTATE,STOKESAY DRIVE,19,Outside Central Region,-,Resale,Land,1218,13114,not_clean
SERANGOON,3300000,218.4,Terrace House,Freehold,5.0,2021-11,SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,19,Outside Central Region,-,Resale,Land,1404,15110,not_clean
SERANGOON,5300000,235.5,Semi-Detached House,999 yrs lease commencing from 1953,5.0,2021-11,SERANGOON GARDEN ESTATE,PORTCHESTER AVENUE,19,Outside Central Region,-,Resale,Land,2091,22505,not_clean
SERANGOON,2800000,173.9,Terrace House,Freehold,5.0,2021-11,TAI KENG GARDENS,TAI KENG AVENUE,19,Outside Central Region,-,Resale,Land,1496,16101,not_clean
SERANGOON,6360000,571.4,Detached House,99 yrs lease commencing from 1997,5.0,2021-11,CHUAN GREEN,CHUAN PLACE,19,Outside Central Region,-,Resale,Land,1034,11131,not_clean
SERANGOON,2888888,186.9,Terrace House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,JALAN CHERMAT,19,Outside Central Region,-,Resale,Land,1436,15457,not_clean
SERANGOON,3030000,177.6,Terrace House,99 yrs lease commencing from 2011,5.0,2021-11,HAUS@SERANGOON GARDEN,SERANGOON GARDEN CLOSE,19,Outside Central Region,-,Resale,Land,1585,17061,not_clean
SERANGOON,2880000,161.3,Terrace House,Freehold,5.0,2021-11,KOVAN GARDENS,KOVAN ROAD,19,Outside Central Region,-,Resale,Land,1659,17855,not_clean
SERANGOON,4268000,245.4,Semi-Detached House,999 yrs lease commencing from 1956,5.0,2021-11,SERANGOON GARDEN ESTATE,CHISELHURST GROVE,19,Outside Central Region,-,Resale,Land,1616,17392,not_clean
SERANGOON,4180000,323.2,Semi-Detached House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,VALLEY ROAD,19,Outside Central Region,-,Resale,Land,1202,12933,not_clean
SERANGOON,4620000,389.5,Semi-Detached House,999 yrs lease commencing from 1954,5.0,2021-11,SERANGOON GARDEN ESTATE,PORTCHESTER AVENUE,19,Outside Central Region,-,Resale,Land,1102,11861,not_clean
SERANGOON,5980000,275.4,Terrace House,999 yrs lease commencing from 1955,5.0,2021-11,SERANGOON GARDEN ESTATE,WORTHING ROAD,19,Outside Central Region,-,Resale,Land,2017,21714,not_clean
SERANGOON,3250000,456.0,Terrace House,99 yrs lease commencing from 1996,5.0,2021-11,HENLEY GARDENS,JALAN ARIF,19,Outside Central Region,-,Resale,Land,662,7127,not_clean
SERANGOON,3600000,152.5,Terrace House,Freehold,5.0,2021-11,SUMMER PLACE,SUMMER PLACE,19,Outside Central Region,-,Resale,Land,2193,23607,not_clean
SERANGOON,4100000,262.5,Semi-Detached House,Freehold,5.0,2021-11,GOVT CO-OP HOUSING ESTATE,ROCHDALE ROAD,19,Outside Central Region,-,Resale,Land,1451,15619,not_clean
SERANGOON,4000000,170.8,Terrace House,999 yrs lease commencing from 1956,5.0,2021-11,SERANGOON GARDEN ESTATE,CONISTON GROVE,19,Outside Central Region,-,Resale,Land,2176,23419,not_clean
SERANGOON,2380000,126.5,Terrace House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,LORONG PAYA LEBAR,19,Rest of Central Region,-,Resale,Land,1748,18814,not_clean
SERANGOON,3900000,260.1,Semi-Detached House,999 yrs lease commencing from 1955,5.0,2021-11,SERANGOON GARDEN ESTATE,BODMIN DRIVE,19,Outside Central Region,-,Resale,Land,1393,14994,not_clean
SERANGOON,3570000,293.3,Terrace House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,RECREATION ROAD,19,Outside Central Region,-,Resale,Land,1131,12172,not_clean
SERANGOON,6088888,367.1,Semi-Detached House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,EATON PLACE,19,Outside Central Region,-,Resale,Land,1541,16586,not_clean
SERANGOON,2900000,161.5,Terrace House,999 yrs lease commencing from 1883,5.0,2021-11,JADE VINE GARDENS,KANG CHOO BIN ROAD,19,Outside Central Region,-,Resale,Land,1668,17957,not_clean
SERANGOON,7768000,369.8,Semi-Detached House,999 yrs lease commencing from 1953,5.0,2021-11,SERANGOON GARDEN ESTATE,CROWHURST DRIVE,19,Outside Central Region,-,Resale,Land,1952,21006,not_clean
SERANGOON,7820000,824.0,Semi-Detached House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,MARLENE AVENUE,19,Outside Central Region,-,Resale,Land,882,9490,not_clean
SERANGOON,2980000,200.8,Terrace House,999 yrs lease commencing from 1954,5.0,2021-11,SERANGOON GARDEN ESTATE,WORTHING ROAD,19,Outside Central Region,-,Resale,Land,1379,14841,not_clean
SERANGOON,5100000,260.1,Terrace House,999 yrs lease commencing from 1955,5.0,2021-11,SERANGOON GARDEN ESTATE,BLOXHOME DRIVE,19,Outside Central Region,-,Resale,Land,1822,19608,not_clean
SERANGOON,2200000,221.5,Terrace House,99 yrs lease commencing from 1994,5.0,2021-11,PARK VILLAS,PARK VILLAS TERRACE,19,Outside Central Region,-,Resale,Land,923,9932,not_clean
SERANGOON,9900000,910.9,Detached House,Freehold,5.0,2021-11,LANDED HOUSING DEVELOPMENT,FLORENCE ROAD,19,Outside Central Region,-,Resale,Land,1010,10868,not_clean
SERANGOON,3500000,207.2,Terrace House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,JALAN LABU AYER,19,Outside Central Region,-,Resale,Land,1569,16892,not_clean
SERANGOON,4780000,394.6,Terrace House,Freehold,5.0,2021-10,SUMMER PLACE,SUMMER PLACE,19,Outside Central Region,-,Resale,Land,1125,12114,not_clean
SERANGOON,4020000,221.6,Semi-Detached House,999 yrs lease commencing from 1956,5.0,2021-10,SERANGOON GARDEN ESTATE,CONWAY GROVE,19,Outside Central Region,-,Resale,Land,1685,18141,not_clean
SERANGOON,5050000,572.3,Detached House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,PONGGOL SEVENTEENTH AVENUE,19,Outside Central Region,-,Resale,Land,820,8824,not_clean
SERANGOON,3750000,260.7,Terrace House,999 yrs lease commencing from 1886,5.0,2021-10,LANDED HOUSING DEVELOPMENT,SANDILANDS ROAD,19,Outside Central Region,-,Resale,Land,1336,14384,not_clean
SERANGOON,3160000,182.9,Terrace House,999 yrs lease commencing from 1883,5.0,2021-10,JADE VINE GARDENS,KANG CHOO BIN WALK,19,Outside Central Region,-,Resale,Land,1605,17277,not_clean
SERANGOON,3550000,150.0,Terrace House,Freehold,5.0,2021-10,GOLDENHILL VILLAS,GOLDEN WALK,19,Outside Central Region,-,Resale,Land,2199,23667,not_clean
SERANGOON,3050000,155.4,Terrace House,Freehold,5.0,2021-10,LOWLAND TERRACE,LOWLAND ROAD,19,Outside Central Region,-,Resale,Land,1823,19627,not_clean
SERANGOON,2400000,166.8,Terrace House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,JALAN TELITI,19,Outside Central Region,-,Resale,Land,1337,14388,not_clean
SERANGOON,3920000,319.9,Semi-Detached House,Freehold,5.0,2021-10,TAI KENG GARDENS,TAI KENG GARDENS,19,Outside Central Region,-,Resale,Land,1138,12254,not_clean
SERANGOON,4060000,242.0,Terrace House,999 yrs lease commencing from 1954,5.0,2021-10,SERANGOON GARDEN ESTATE,COWDRAY AVENUE,19,Outside Central Region,-,Resale,Land,1559,16777,not_clean
SERANGOON,5240000,403.5,Detached House,Freehold,5.0,2021-10,BRADDELL HEIGHTS ESTATE,SERANGOON AVENUE 3,19,Outside Central Region,-,Resale,Land,1206,12986,not_clean
SERANGOON,2530000,154.3,Terrace House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,JALAN KURNIA,19,Outside Central Region,-,Resale,Land,1523,16397,not_clean
SERANGOON,2200000,153.4,Terrace House,99 yrs lease commencing from 1994,5.0,2021-10,PARK VILLAS,PARK VILLAS RISE,19,Outside Central Region,-,Resale,Land,1332,14342,not_clean
SERANGOON,2850000,130.6,Terrace House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,PAYA LEBAR STREET,19,Rest of Central Region,-,Resale,Land,2027,21822,not_clean
SERANGOON,6000000,440.7,Terrace House,999 yrs lease commencing from 1876,5.0,2021-10,LANDED HOUSING DEVELOPMENT,CHIAP GUAN AVENUE,19,Outside Central Region,-,Resale,Land,1265,13615,not_clean
SERANGOON,3580000,260.0,Terrace House,999 yrs lease commencing from 1955,5.0,2021-10,SERANGOON GARDEN ESTATE,BROCKHAMPTON DRIVE,19,Outside Central Region,-,Resale,Land,1279,13769,not_clean
SERANGOON,11500000,1327.7,Detached House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,UPPER SERANGOON ROAD,19,Outside Central Region,-,Resale,Land,805,8662,not_clean
SERANGOON,3600000,260.1,Terrace House,999 yrs lease commencing from 1955,5.0,2021-10,SERANGOON GARDEN ESTATE,BROCKHAMPTON DRIVE,19,Outside Central Region,-,Resale,Land,1286,13841,not_clean
SERANGOON,4130000,208.2,Semi-Detached House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,CHARLTON ROAD,19,Outside Central Region,-,Resale,Land,1843,19837,not_clean
SERANGOON,2980000,156.4,Terrace House,999 yrs lease commencing from 1877,5.0,2021-10,PARRY PARK,PARRY TERRACE,19,Outside Central Region,-,Resale,Land,1770,19054,not_clean
SERANGOON,3150000,242.4,Terrace House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,SIMON PLACE,19,Outside Central Region,-,Resale,Land,1207,12995,not_clean
SERANGOON,5100000,526.5,Detached House,999 yrs lease commencing from 1878,5.0,2021-10,LANDED HOUSING DEVELOPMENT,LANGE ROAD,19,Outside Central Region,-,Resale,Land,900,9687,not_clean
SERANGOON,2910000,200.3,Terrace House,999 yrs lease commencing from 1955,5.0,2021-10,SERANGOON GARDEN ESTATE,HYTHE ROAD,19,Outside Central Region,-,Resale,Land,1350,14528,not_clean
SERANGOON,4530000,250.2,Semi-Detached House,999 yrs lease commencing from 1955,5.0,2021-10,SERANGOON GARDEN ESTATE,HYTHE ROAD,19,Outside Central Region,-,Resale,Land,1682,18106,not_clean
SERANGOON,3598888,170.9,Terrace House,999 yrs lease commencing from 1956,5.0,2021-10,SERANGOON GARDEN ESTATE,CARDIFF GROVE,19,Outside Central Region,-,Resale,Land,1956,21058,not_clean
SERANGOON,2750000,168.9,Terrace House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,LORONG LEW LIAN,19,Outside Central Region,-,Resale,Land,1513,16282,not_clean
SERANGOON,5750000,272.1,Semi-Detached House,999 yrs lease commencing from 1955,5.0,2021-10,SERANGOON GARDEN ESTATE,BURGHLEY DRIVE,19,Outside Central Region,-,New Sale,Land,1963,21132,not_clean
SERANGOON,4160000,222.6,Semi-Detached House,999 yrs lease commencing from 1876,5.0,2021-10,HAI SING PARK,HAI SING CRESCENT,19,Outside Central Region,-,Resale,Land,1736,18688,not_clean
SERANGOON,3800000,228.6,Terrace House,Freehold,5.0,2021-10,HIGHLAND ROW,SIRAT ROAD,19,Outside Central Region,-,Resale,Land,1544,16623,not_clean
SERANGOON,3300000,152.6,Terrace House,Freehold,5.0,2021-10,LANDED HOUSING DEVELOPMENT,BUNGA RAMPAI PLACE,19,Rest of Central Region,-,Resale,Land,2009,21625,not_clean
SERANGOON,7200000,443.1,Detached House,999 yrs lease commencing from 1953,5.0,2021-10,SERANGOON GARDEN ESTATE,WALMER DRIVE,19,Outside Central Region,-,Resale,Land,1510,16249,not_clean
SERANGOON,5380000,326.3,Semi-Detached House,999 yrs lease commencing from 1956,5.0,2021-10,SERANGOON GARDEN ESTATE,CARISBROOKE GROVE,19,Outside Central Region,-,Resale,Land,1532,16488,not_clean
SERANGOON,3760000,318.5,Semi-Detached House,999 yrs lease commencing from 1884,5.0,2021-10,LANDED HOUSING DEVELOPMENT,POH HUAT ROAD,19,Outside Central Region,-,Resale,Land,1097,11805,not_clean
SERANGOON,2600000,158.4,Terrace House,Freehold,5.0,2021-10,TAI KENG GARDENS,TAI KENG GARDENS,19,Outside Central Region,-,Resale,Land,1525,16414,not_clean
