lat,lon,name,mainlevel_code,type_code,zone_code,nature_code,autonomous_ind,gifted_ind,ip_ind,sap_ind,postal_code
1.33058326666479,103.802420979943,NANYANG GIRLS' HIGH SCHOOL,SECONDARY (S1-S4),INDEPENDENT SCHOOL,WEST,GIRLS' SCHOOL,No,Yes,Yes,Yes,288683
1.35028314949236,103.866498721912,NANYANG JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,556111
1.32107094241153,103.807681852799,NANYANG PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,Yes,No,Yes,268097
1.33029291072172,103.804110905425,NATIONAL JUNIOR COLLEGE,MIXED LEVEL (S1-JC2),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,Yes,No,288913
1.41629226758972,103.838858273963,NAVAL BASE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,769028
1.41937881620441,103.831050390247,NAVAL BASE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768689
1.29964188181021,103.80010216304,NEW TOWN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,148812
1.30977590011357,103.77318863421,NEW TOWN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,139657
1.30553224180437,103.917570005713,NGEE ANN PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,449149
1.35447525755806,103.956747262496,NGEE ANN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,Yes,No,No,No,529283
1.38707582424175,103.903088569789,NORTH SPRING PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,545088
1.42745159462566,103.848378442893,NORTH VIEW PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768960
1.38255066171151,103.89626457548,NORTH VISTA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,544974
1.381131285358,103.899188813886,NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,545081
1.42081285020652,103.845147332528,NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768692
1.42130404159807,103.840792923345,NORTHLAND PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,769026
1.43580183362637,103.840104687784,NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768578
1.3191002158167,103.85575955353,NORTHLIGHT SCHOOL,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,327830
1.45732867302094,103.814075611175,NORTHOAKS PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,757622
1.41842322079348,103.905147201163,NORTHSHORE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828671
1.30600678096247,103.770152807737,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,MIXED LEVEL (S1-JC2),SPECIALISED SCHOOL,WEST,CO-ED SCHOOL,No,Yes,Yes,No,129957
1.40507184758584,103.911200193835,OASIS PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828716
1.31996876377748,103.923752668632,OPERA ESTATE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,458436
1.41532032779634,103.837859241343,ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768454
1.39775020428346,103.891230426312,OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,549936
1.38376923022123,103.891354675017,PALM VIEW PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,544822
1.37801687647812,103.9392021807,PARK VIEW PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,519524
1.37284060102246,103.959728202919,PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518934
1.37245132722087,103.962922699031,PASIR RIS PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518968
1.35422732653396,103.948962626204,PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529400
1.3502545600894,103.884846876112,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,GOVERNMENT-AIDED SCH,EAST,GIRLS' SCHOOL,No,No,No,No,536741
1.35096755912522,103.885120050588,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,GIRLS' SCHOOL,Yes,No,No,No,536742
1.33677864390672,103.855341310212,PEI CHUN PUBLIC SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,Yes,319320
