lat,lon,name,stn_code,line,operational
1.34090149001429,103.775746717778,Beauty World,DT5,Downtown Line,1
1.335893496278,103.783235863233,King Albert Park,DT6,Downtown Line,1
1.33085764536226,103.796906838288,Sixth Avenue,DT7,Downtown Line,1
1.32639224146351,103.806548201692,Tan Kah Kee,DT8,Downtown Line,1
1.32006555750626,103.826024401924,Stevens,DT10,Downtown Line,1
1.30385218527656,103.852769428884,Rochor,DT13,Downtown Line,1
1.27944638178916,103.852840829581,Downtown,DT17,Downtown Line,1
1.28206894769394,103.848648781083,Telok Ayer,DT18,Downtown Line,1
1.29248194822996,103.844331362465,Fort Canning,DT20,Downtown Line,1
1.29891843369422,103.850353762717,Bencoolen,DT21,Downtown Line,1
1.3051713878069,103.855295713435,Jalan Besar,DT22,Downtown Line,1
1.31367252847691,103.862977620945,Bendemeer,DT23,Downtown Line,1
1.32130110228321,103.871622627142,Geylang Bahru,DT24,Downtown Line,1
1.32687671501334,103.883247509542,Mattar,DT25,Downtown Line,1
1.32997425973974,103.899226655439,Ubi,DT27,Downtown Line,1
1.33496735995428,103.908459338046,Kaki Bukit,DT28,Downtown Line,1
1.33474211664091,103.91797832995,Bedok North,DT29,Downtown Line,1
1.33660782955099,103.932234623286,Bedok Reservoir,DT30,Downtown Line,1
1.34551530560119,103.938436971222,Tampines West,DT31,Downtown Line,1
1.35520,103.96108,Tampines East,DT33,Downtown Line,1
1.34173977444995,103.961472788634,Upper Changi,DT34,Downtown Line,1
1.38029828742399,103.745291799824,South View,BP2,Bukit Panjang LRT,1
1.3786032506373,103.749055668925,Keat Hong,BP3,Bukit Panjang LRT,1
1.37668467920808,103.753712232337,Teck Whye,BP4,Bukit Panjang LRT,1
1.37861545104083,103.757995558346,Phoenix,BP5,Bukit Panjang LRT,1
1.37777204259082,103.766645782497,Petir,BP7,Bukit Panjang LRT,1
1.37613574334988,103.771261175571,Pending,BP8,Bukit Panjang LRT,1
1.38002223010088,103.772647370452,Bangkit,BP9,Bukit Panjang LRT,1
1.38457317668026,103.770887223018,Fajar,BP10,Bukit Panjang LRT,1
1.38778508663361,103.769599685249,Segar,BP11,Bukit Panjang LRT,1
1.38673926997961,103.76453408646,Jelapang,BP12,Bukit Panjang LRT,1
1.38272547134453,103.76234425472,Senja,BP13,Bukit Panjang LRT,1
1.39449304450373,103.900492450944,Compassvale,SE1,Sengkang LRT,1
1.39146849534132,103.90597359341,Rumbia,SE2,Sengkang LRT,1
1.38799431054768,103.905415300171,Bakau,SE3,Sengkang LRT,1
1.38395911688913,103.90222537044,Kangkar,SE4,Sengkang LRT,1
1.38423355918277,103.897194667804,Ranggung,SE5,Sengkang LRT,1
1.39627763344324,103.893797181731,Cheng Lim,SW1,Sengkang LRT,1
1.39717019591821,103.889304824196,Farmway,SW2,Sengkang LRT,1
1.39821283031379,103.881256222255,Kupang,SW3,Sengkang LRT,1
1.39731815581938,103.875635154729,Thanggam,SW4,Sengkang LRT,1
1.39188589234766,103.87630862552,Fernvale,SW5,Sengkang LRT,1
1.39207983659997,103.880029600546,Layar,SW6,Sengkang LRT,1
1.38934794658941,103.885844150116,Tongkang,SW7,Sengkang LRT,1
1.38670058991904,103.89062131608,Renjong,SW8,Sengkang LRT,1
1.39928198837342,103.905961941214,Cove,PE1,Punggol LRT,1
1.3969120498774,103.908950224489,Meridian,PE2,Punggol LRT,1
1.39390922863313,103.912580845515,Coral Edge,PE3,Punggol LRT,1
1.39451978540251,103.916169381157,Riviera,PE4,Punggol LRT,1
1.39950910636258,103.916574974234,Kadaloor,PE5,Punggol LRT,1
1.40228667971123,103.912727352412,Oasis,PE6,Punggol LRT,1
1.40523483636957,103.908603542566,Damai,PE7,Punggol LRT,1
1.40961268528804,103.904831550608,Sam Kee,PW1,Punggol LRT,1
1.4127708937463,103.906577622768,Teck Lee,PW2,Punggol LRT,1
1.41684852031206,103.906650789313,Punggol Point,PW3,Punggol LRT,1
1.41590172160383,103.902156317163,Samudera,PW4,Punggol LRT,1
1.41185447744238,103.900339452055,Nibong,PW5,Punggol LRT,1
1.40845241943079,103.898558450395,Sumang,PW6,Punggol LRT,1
1.40532331860455,103.897290522033,Soo Teck,PW7,Punggol LRT,1
1.44967,103.82988,Canberra,NS12,North South Line,1
1.30223,103.90737,Marine Parade,TE26,Thomson-East Coast Line,1
1.37480,103.74100,Tengah (JRL planned),JR1,Jurong Region Line,0
1.38597,103.83682,Lentor,TE5,Thomson-East Coast Line,1
1.31600,103.93900,Bedok South,TE30,Thomson-East Coast Line,0
1.32050,103.94200,Sungei Bedok,TE31,Thomson-East Coast Line,0
1.30200,103.86200,Founders' Memorial,TE22A,Thomson-East Coast Line,0
