source_url,source_slug,name,row_count,pages_scraped,oldest_date,status,error
https://www.edgeprop.sg/condo-apartment/atrium-residences,atrium-residences,ATRIUM RESIDENCES,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/attitude-at-kim-yam,attitude-at-kim-yam,ATTITUDE AT KIM YAM,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/aura-park,aura-park,AURA PARK,0,1,1999-01-01,ok,
https://www.edgeprop.sg/condo-apartment/auralis,auralis,AURALIS,16,3,2011-07-18,ok,
https://www.edgeprop.sg/condo-apartment/austral-view,austral-view,AUSTRAL VIEW,0,1,1998-12-01,ok,
https://www.edgeprop.sg/condo-apartment/austville-residences,austville-residences,AUSTVILLE RESIDENCES,184,19,2021-07-15,ok,
https://www.edgeprop.sg/condo-apartment/autumn-glory,autumn-glory,AUTUMN GLORY,0,1,1999-06-01,ok,
https://www.edgeprop.sg/condo-apartment/autumn-ten-mansions,autumn-ten-mansions,AUTUMN TEN MANSIONS,0,1,2000-05-14,ok,
https://www.edgeprop.sg/condo-apartment/ava-towers,ava-towers,AVA TOWERS,33,5,2014-12-20,ok,
https://www.edgeprop.sg/condo-apartment/avalon,avalon,AVALON,11,3,2013-05-31,ok,
https://www.edgeprop.sg/condo-apartment/avenue-park,avenue-park,AVENUE PARK,0,1,1995-03-01,ok,
https://www.edgeprop.sg/condo-apartment/avila-gardens,avila-gardens,AVILA GARDENS,77,9,2018-03-28,ok,
https://www.edgeprop.sg/condo-apartment/avon-park,avon-park,AVON PARK,14,3,2010-08-03,ok,
https://www.edgeprop.sg/condo-apartment/axis-siglap,axis-siglap,AXIS @ SIGLAP,14,3,2014-02-10,ok,
https://www.edgeprop.sg/condo-apartment/azalea-park-condominium,azalea-park-condominium,AZALEA PARK CONDOMINIUM,69,8,2018-03-05,ok,
https://www.edgeprop.sg/condo-apartment/bagnall-court,bagnall-court,BAGNALL COURT,1,2,1997-05-01,ok,
https://www.edgeprop.sg/condo-apartment/balcon-east,balcon-east,BALCON EAST,9,2,2011-10-14,ok,
https://www.edgeprop.sg/condo-apartment/balestier-288,balestier-288,BALESTIER 288,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balestier-complex,balestier-complex,BALESTIER COMPLEX,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balestier-court,balestier-court,BALESTIER COURT,0,1,1995-11-04,ok,
https://www.edgeprop.sg/condo-apartment/balestier-mansion,balestier-mansion,BALESTIER MANSION,0,1,1999-12-03,ok,
https://www.edgeprop.sg/condo-apartment/balestier-plaza,balestier-plaza,BALESTIER PLAZA,9,2,2015-10-22,ok,
https://www.edgeprop.sg/condo-apartment/balestier-point,balestier-point,BALESTIER POINT,11,3,2010-04-07,ok,
https://www.edgeprop.sg/condo-apartment/balestier-regency,balestier-regency,BALESTIER REGENCY,4,2,2006-05-04,ok,
https://www.edgeprop.sg/condo-apartment/balestier-towers,balestier-towers,BALESTIER TOWERS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium,BALLOTA PARK CONDOMINIUM,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmeg-court,balmeg-court,BALMEG COURT,0,1,2000-06-08,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-8,balmoral-8,BALMORAL 8,12,3,2009-11-02,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-condominium,balmoral-condominium,BALMORAL CONDOMINIUM,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-court,balmoral-court,BALMORAL COURT,0,1,1995-03-01,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-crest,balmoral-crest,BALMORAL CREST,7,2,2003-05-27,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-gardens,balmoral-gardens,BALMORAL GARDENS,0,1,1996-03-27,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-gate,balmoral-gate,BALMORAL GATE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-green,balmoral-green,BALMORAL GREEN,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-grove,balmoral-grove,BALMORAL GROVE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-haven,balmoral-haven,BALMORAL HAVEN,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-heights,balmoral-heights,BALMORAL HEIGHTS,19,3,2012-07-27,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-hills,balmoral-hills,BALMORAL HILLS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-park,balmoral-park,BALMORAL PARK,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-place,balmoral-place,BALMORAL PLACE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-plaza,balmoral-plaza,BALMORAL PLAZA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-point,balmoral-point,BALMORAL POINT,1,2,2001-04-01,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-residences,balmoral-residences,BALMORAL RESIDENCES,7,2,2010-03-15,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-tower,balmoral-tower,BALMORAL TOWER,1,2,1999-04-12,ok,
https://www.edgeprop.sg/condo-apartment/balmoral-view,balmoral-view,BALMORAL VIEW,0,1,1995-03-01,ok,
https://www.edgeprop.sg/condo-apartment/balmy-court,balmy-court,BALMY COURT,7,2,2010-03-30,ok,
https://www.edgeprop.sg/condo-apartment/banyan-condominium,banyan-condominium,BANYAN CONDOMINIUM,6,2,2010-12-20,ok,
https://www.edgeprop.sg/condo-apartment/baode-building,baode-building,BAODE BUILDING,1,2,1995-03-01,ok,
https://www.edgeprop.sg/condo-apartment/bartley-grove,bartley-grove,BARTLEY GROVE,0,1,2007-06-13,ok,
https://www.edgeprop.sg/condo-apartment/bartley-residences,bartley-residences,BARTLEY RESIDENCES,190,19,2021-08-24,ok,
https://www.edgeprop.sg/condo-apartment/bartley-terrace,bartley-terrace,BARTLEY TERRACE,0,1,1999-07-10,ok,
https://www.edgeprop.sg/condo-apartment/bassein-court,bassein-court,BASSEIN COURT,4,2,1999-06-01,ok,
https://www.edgeprop.sg/condo-apartment/bayou-residence,bayou-residence,BAYOU RESIDENCE,11,3,2009-09-03,ok,
https://www.edgeprop.sg/condo-apartment/bayshore-park,bayshore-park,BAYSHORE PARK,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bayville-condominium,bayville-condominium,BAYVILLE CONDOMINIUM,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/baywater,baywater,BAYWATER,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/beacon-heights,beacon-heights,BEACON HEIGHTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/beaufort-on-nassim,beaufort-on-nassim,BEAUFORT ON NASSIM,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/beauty-world-centre,beauty-world-centre,BEAUTY WORLD CENTRE,26,4,2013-05-07,ok,
https://www.edgeprop.sg/condo-apartment/beauty-world-plaza,beauty-world-plaza,BEAUTY WORLD PLAZA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/beaverton-court,beaverton-court,BEAVERTON COURT,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bedok-court,bedok-court,BEDOK COURT,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bedok-residences,bedok-residences,BEDOK RESIDENCES,100,10,2021-08-16,ok,
https://www.edgeprop.sg/condo-apartment/bedok-shopping-complex,bedok-shopping-complex,BEDOK SHOPPING COMPLEX,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bee-hwa-court,bee-hwa-court,BEE HWA COURT,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bella-casita,bella-casita,BELLA CASITA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bella-vista,bella-vista,BELLA VISTA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/belle-vue,belle-vue,BELLE VUE,0,1,2003-03-28,ok,
https://www.edgeprop.sg/condo-apartment/belle-vue-residences,belle-vue-residences,BELLE VUE RESIDENCES,44,6,2016-03-10,ok,
https://www.edgeprop.sg/condo-apartment/bellerive,bellerive,BELLERIVE,21,4,2012-07-30,ok,
https://www.edgeprop.sg/condo-apartment/bellezza-katong,bellezza-katong,BELLEZZA @ KATONG,6,2,2009-03-16,ok,
https://www.edgeprop.sg/condo-apartment/belmond-green,belmond-green,BELMOND GREEN,45,6,2017-08-29,ok,
https://www.edgeprop.sg/condo-apartment/belmondo-view,belmondo-view,BELMONDO VIEW,2,2,2003-02-28,ok,
https://www.edgeprop.sg/condo-apartment/belysa,belysa,BELYSA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bendigo-gardens,bendigo-gardens,BENDIGO GARDENS,0,1,1995-01-01,ok,
https://www.edgeprop.sg/condo-apartment/beta-grove,beta-grove,BETA GROVE,1,1,2008-07-28,ok,
https://www.edgeprop.sg/condo-apartment/beverly-hill,beverly-hill,BEVERLY HILL,16,3,2010-07-30,ok,
https://www.edgeprop.sg/condo-apartment/beverly-mai,beverly-mai,BEVERLY MAI,0,1,2000-11-01,ok,
https://www.edgeprop.sg/condo-apartment/binjai-park,binjai-park,BINJAI PARK,5,2,2009-05-06,ok,
https://www.edgeprop.sg/condo-apartment/birchwood-mansions,birchwood-mansions,BIRCHWOOD MANSIONS,4,2,1995-10-01,ok,
https://www.edgeprop.sg/condo-apartment/birmingham-mansions,birmingham-mansions,BIRMINGHAM MANSIONS,14,3,2011-06-02,ok,
https://www.edgeprop.sg/condo-apartment/bishan-8,bishan-8,BISHAN 8,51,7,2017-03-07,ok,
https://www.edgeprop.sg/condo-apartment/bishan-loft,bishan-loft,BISHAN LOFT,71,9,2018-02-14,ok,
https://www.edgeprop.sg/condo-apartment/bishan-park-condominium,bishan-park-condominium,BISHAN PARK CONDOMINIUM,67,8,2016-12-28,ok,
https://www.edgeprop.sg/condo-apartment/bishan-point,bishan-point,BISHAN POINT,52,7,2016-10-26,ok,
https://www.edgeprop.sg/condo-apartment/bleu-east-coast,bleu-east-coast,BLEU @ EAST COAST,15,3,2012-11-07,ok,
https://www.edgeprop.sg/condo-apartment/bliss-loft,bliss-loft,BLISS LOFT,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bliss-regalia,bliss-regalia,BLISS REGALIA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bliss-residences,bliss-residences,BLISS RESIDENCES,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/bliss-ville,bliss-ville,BLISS VILLE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/blisskovan,blisskovan,BLISS@KOVAN,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/blossom-mansions,blossom-mansions,BLOSSOM MANSIONS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/blossom-residences,blossom-residences,BLOSSOM RESIDENCES,152,16,2021-07-09,ok,
https://www.edgeprop.sg/condo-apartment/blossom-view,blossom-view,BLOSSOM VIEW,9,2,2011-05-06,ok,
https://www.edgeprop.sg/condo-apartment/blossoms-woodleigh,blossoms-woodleigh,BLOSSOMS @ WOODLEIGH,40,5,2017-11-17,ok,
https://www.edgeprop.sg/condo-apartment/blu-coral,blu-coral,BLU CORAL,29,4,2017-04-04,ok,
https://www.edgeprop.sg/condo-apartment/blue-horizon,blue-horizon,BLUE HORIZON,94,10,2021-07-12,ok,
https://www.edgeprop.sg/condo-apartment/bluwaters,bluwaters,BLUWATERS,17,3,2013-04-08,ok,
https://www.edgeprop.sg/condo-apartment/bluwaters-2,bluwaters-2,BLUWATERS 2,30,4,2017-03-24,ok,
https://www.edgeprop.sg/condo-apartment/bo-bo-tan-gardens,bo-bo-tan-gardens,BO BO TAN GARDENS,0,1,1999-11-16,ok,
https://www.edgeprop.sg/condo-apartment/boathouse-residences,boathouse-residences,BOATHOUSE RESIDENCES,139,14,2021-07-05,ok,
https://www.edgeprop.sg/condo-apartment/boon-court,boon-court,BOON COURT,5,2,1996-02-26,ok,
https://www.edgeprop.sg/condo-apartment/boon-sing-building,boon-sing-building,BOON SING BUILDING,0,1,2003-10-31,ok,
