estate,provision_band,provision_score,D_T0,D_T5,D_T15,yf_T0,yf_T0_band,yf_T5,yf_T5_band,yf_T15,yf_T15_band,yf_arrow,yf_T15_arrow,sp_T0,sp_T0_band,sp_T5,sp_T5_band,sp_T15,sp_T15_band,sp_arrow,sp_T15_arrow,ret_T0,ret_T0_band,ret_T5,ret_T5_band,ret_T15,ret_T15_band,ret_arrow,ret_T15_arrow,ls_T0,ls_T0_band,ls_T5,ls_T5_band,ls_T15,ls_T15_band,ls_arrow,ls_T15_arrow,gap_yf_T0,gap_yf_T0_label,gap_yf_T5,gap_yf_T5_label,gap_yf_T15,gap_yf_T15_label,gap_sp_T0,gap_sp_T0_label,gap_sp_T5,gap_sp_T5_label,gap_sp_T15,gap_sp_T15_label,gap_ret_T0,gap_ret_T0_label,gap_ret_T5,gap_ret_T5_label,gap_ret_T15,gap_ret_T15_label,gap_ls_T0,gap_ls_T0_label,gap_ls_T5,gap_ls_T5_label,gap_ls_T15,gap_ls_T15_label
YISHUN,B+,4.04,1.0,1.0,1.0,4.154,B+,4.191,B+,4.201,B+,→,→,4.024,B+,4.063,B+,4.074,B+,→,→,3.843,B,3.887,B,3.898,B,→,→,3.966,B,4.007,B+,4.019,B+,→,→,0.11,matched,0.15,matched,0.16,matched,-0.02,matched,0.02,matched,0.03,matched,-0.2,matched,-0.15,matched,-0.14,matched,-0.07,matched,-0.03,matched,-0.02,matched
HOUGANG,B+,4.2,1.0,1.0,1.0,4.224,B+,4.259,B+,4.27,B+,→,→,4.225,B+,4.285,B+,4.296,B+,→,→,3.957,B,4.002,B+,4.015,B+,→,→,4.155,B+,4.213,B+,4.225,B+,→,→,0.02,matched,0.06,matched,0.07,matched,0.02,matched,0.08,matched,0.1,matched,-0.24,matched,-0.2,matched,-0.19,matched,-0.04,matched,0.01,matched,0.02,matched
CHOA CHU KANG,B,3.69,1.0,1.0,1.0,3.751,B,3.888,B,3.945,B,↑,↑,3.595,B,3.805,B,3.898,B,↑,↑,3.433,C,3.62,B,3.687,B,↑,↑,3.561,B,3.758,B,3.848,B,↑,↑,0.06,matched,0.2,matched,0.25,matched,-0.09,matched,0.12,matched,0.21,matched,-0.26,matched,-0.07,matched,-0.0,matched,-0.13,matched,0.07,matched,0.16,matched
BUKIT BATOK,B,3.84,1.0,1.0,1.0,3.956,B,4.06,B+,4.124,B+,↑,↑,3.765,B,3.94,B,4.036,B+,↑,↑,3.64,B,3.762,B,3.84,B,↑,↑,3.712,B,3.878,B,3.969,B,↑,↑,0.12,matched,0.22,matched,0.28,matched,-0.07,matched,0.1,matched,0.2,matched,-0.2,matched,-0.08,matched,0.0,matched,-0.13,matched,0.04,matched,0.13,matched
BUKIT MERAH,B+,4.2,1.0,1.0,1.0,4.275,B+,4.291,B+,4.296,B+,→,→,4.148,B+,4.158,B+,4.164,B+,→,→,4.078,B+,4.093,B+,4.1,B+,→,→,4.188,B+,4.198,B+,4.204,B+,→,→,0.08,matched,0.09,matched,0.1,matched,-0.05,matched,-0.04,matched,-0.04,matched,-0.12,matched,-0.11,matched,-0.1,matched,-0.01,matched,-0.0,matched,0.0,matched
BUKIT PANJANG,B+,4.02,1.0,1.0,1.0,4.055,B+,4.074,B+,4.079,B+,→,→,4.038,B+,4.05,B+,4.053,B+,→,→,3.849,B,3.868,B,3.873,B,→,→,3.915,B,3.926,B,3.93,B,→,→,0.04,matched,0.05,matched,0.06,matched,0.02,matched,0.03,matched,0.03,matched,-0.17,matched,-0.15,matched,-0.15,matched,-0.1,matched,-0.09,matched,-0.09,matched
GEYLANG,B,3.85,1.0,1.0,1.0,4.016,B+,4.016,B+,4.031,B+,→,→,3.685,B,3.685,B,3.703,B,→,→,3.823,B,3.823,B,3.839,B,→,→,3.76,B,3.76,B,3.778,B,→,→,0.17,matched,0.17,matched,0.18,matched,-0.17,matched,-0.17,matched,-0.15,matched,-0.03,matched,-0.03,matched,-0.01,matched,-0.09,matched,-0.09,matched,-0.07,matched
CLEMENTI,B,3.78,1.0,1.0,1.0,3.87,B,3.894,B,3.958,B,→,→,3.695,B,3.72,B,3.819,B,→,↑,3.632,B,3.66,B,3.734,B,→,↑,3.656,B,3.683,B,3.779,B,→,↑,0.09,matched,0.11,matched,0.18,matched,-0.08,matched,-0.06,matched,0.04,matched,-0.15,matched,-0.12,matched,-0.05,matched,-0.12,matched,-0.1,matched,-0.0,matched
CENTRAL AREA,B+,4.36,1.0,1.0,1.0,4.525,A,4.541,A,4.541,A,→,→,4.252,B+,4.301,B+,4.301,B+,→,→,4.425,B+,4.45,B+,4.45,B+,→,→,4.304,B+,4.349,B+,4.349,B+,→,→,0.17,matched,0.18,matched,0.18,matched,-0.11,matched,-0.06,matched,-0.06,matched,0.06,matched,0.09,matched,0.09,matched,-0.06,matched,-0.01,matched,-0.01,matched
BUKIT TIMAH,B,3.84,1.0,1.0,1.0,3.912,B,3.927,B,3.927,B,→,→,3.848,B,3.857,B,3.857,B,→,→,3.621,B,3.636,B,3.636,B,→,→,3.769,B,3.778,B,3.778,B,→,→,0.07,matched,0.09,matched,0.09,matched,0.01,matched,0.02,matched,0.02,matched,-0.22,matched,-0.2,matched,-0.2,matched,-0.07,matched,-0.06,matched,-0.06,matched
JURONG WEST,B,3.56,1.0,1.0,1.0,3.658,B,3.947,B,4.025,B+,↑,↑,3.493,C,4.016,B+,4.134,B+,↑,↑,3.303,C,3.65,B,3.758,B,↑,↑,3.458,C,3.956,B,4.066,B+,↑,↑,0.1,matched,0.39,matched,0.47,matched,-0.07,matched,0.46,matched,0.57,punches_above,-0.26,matched,0.09,matched,0.2,matched,-0.1,matched,0.4,matched,0.51,punches_above
KALLANG,B+,4.07,1.0,1.0,1.0,4.044,B+,4.061,B+,4.061,B+,→,→,4.105,B+,4.154,B+,4.154,B+,→,→,3.882,B,3.908,B,3.908,B,→,→,4.149,B+,4.194,B+,4.194,B+,→,→,-0.03,matched,-0.01,matched,-0.01,matched,0.04,matched,0.08,matched,0.08,matched,-0.19,matched,-0.16,matched,-0.16,matched,0.08,matched,0.12,matched,0.12,matched
HOLLAND VILLAGE,B+,4.01,1.0,1.0,1.0,4.088,B+,4.088,B+,4.097,B+,→,→,4.086,B+,4.086,B+,4.089,B+,→,→,3.821,B,3.821,B,3.844,B,→,→,3.971,B,3.971,B,3.972,B,→,→,0.08,matched,0.08,matched,0.09,matched,0.08,matched,0.08,matched,0.08,matched,-0.19,matched,-0.19,matched,-0.17,matched,-0.04,matched,-0.04,matched,-0.04,matched
