lat,lon,name
1.2782263,103.8438656,Tanjong Hwaro
1.3049616,103.7814866,FairPrice
1.3102679,103.7880372,Giant
1.3328116,103.8472498,FairPrice
1.3080768,103.7858814,Sheng Siong
1.3128367,103.9235157,Cold Storage
1.3561808,103.9863723,NTUC FairPrice Finest
1.319605,103.8271903,Cold Storage
1.3227092,103.8144067,CS Fresh
1.3242903,103.9238735,FairPrice
1.3481032,103.6855222,Prime Supermarket
1.3468178,103.6809884,Prime Supermarket
1.3777363,103.7726306,NTUC Pasar
1.3786855,103.7728973,Giant
1.3879115,103.7699226,Sheng Siong
1.3017518,103.7695285,Cold Storage
1.3142787,103.8887345,FairPrice
1.2920393,103.8425504,Cold Storage
1.4069699,103.9016244,Fairprice Finest
1.3437753,103.6897166,AJI Minimart
