source_url,source_slug,name,row_count,status,error
https://www.edgeprop.sg/landed-house/countryview,countryview,COUNTRYVIEW,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/countryview"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/cypress-avenue,cypress-avenue,CYPRESS AVENUE,0,ok,
https://www.edgeprop.sg/landed-house/d-bella-terrace,d-bella-terrace,D' BELLA TERRACE,0,ok,
https://www.edgeprop.sg/landed-house/d-kenaris,d-kenaris,D' KENARIS,0,ok,
https://www.edgeprop.sg/landed-house/d-silva-terrace,d-silva-terrace,D' SILVA TERRACE,0,ok,
https://www.edgeprop.sg/landed-house/dbella-terrace,dbella-terrace,D'BELLA TERRACE,6,ok,
https://www.edgeprop.sg/landed-house/delias,delias,D'ELIAS,30,ok,
https://www.edgeprop.sg/landed-house/dleedon,dleedon,D'LEEDON,0,ok,
https://www.edgeprop.sg/landed-house/dmanor,dmanor,D'MANOR,0,ok,
https://www.edgeprop.sg/landed-house/dwilkinson,dwilkinson,D'WILKINSON,0,ok,
https://www.edgeprop.sg/landed-house/da-silva-villas,da-silva-villas,DA SILVA VILLAS,10,ok,
https://www.edgeprop.sg/landed-house/daisy-park,daisy-park,DAISY PARK,40,ok,
https://www.edgeprop.sg/landed-house/daisy-petals,daisy-petals,DAISY PETALS,10,ok,
https://www.edgeprop.sg/landed-house/daisy-terrace,daisy-terrace,DAISY TERRACE,10,ok,
https://www.edgeprop.sg/landed-house/dalla-vale,dalla-vale,DALLA VALE,59,ok,
https://www.edgeprop.sg/landed-house/dalvey-villas,dalvey-villas,DALVEY VILLAS,10,ok,
https://www.edgeprop.sg/landed-house/davis-pinegrove,davis-pinegrove,DAVIS PINEGROVE,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/davis-pinegrove"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/davisville,davisville,DAVISVILLE,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/davisville"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/dedap-gardens,dedap-gardens,DEDAP GARDENS,10,ok,
https://www.edgeprop.sg/landed-house/desker-road-conservation-area,desker-road-conservation-area,DESKER ROAD CONSERVATION AREA,0,ok,
https://www.edgeprop.sg/landed-house/dragon-view-park,dragon-view-park,DRAGON VIEW PARK,10,ok,
https://www.edgeprop.sg/landed-house/dublin-lodge,dublin-lodge,DUBLIN LODGE,8,ok,
https://www.edgeprop.sg/landed-house/duchess-garden,duchess-garden,DUCHESS GARDEN,50,ok,
https://www.edgeprop.sg/landed-house/duchess-place,duchess-place,DUCHESS PLACE,0,ok,
https://www.edgeprop.sg/landed-house/dukes-garden,dukes-garden,DUKE'S GARDEN,0,ok,
https://www.edgeprop.sg/landed-house/dunearn-estate,dunearn-estate,DUNEARN ESTATE,0,ok,
https://www.edgeprop.sg/landed-house/dunman-garden,dunman-garden,DUNMAN GARDEN,10,ok,
https://www.edgeprop.sg/landed-house/dunman-grove,dunman-grove,DUNMAN GROVE,20,ok,
https://www.edgeprop.sg/landed-house/dunsfold-18,dunsfold-18,DUNSFOLD 18,30,ok,
https://www.edgeprop.sg/landed-house/dunsfold-residences,dunsfold-residences,DUNSFOLD RESIDENCES,0,ok,
https://www.edgeprop.sg/landed-house/dunsfold-villas,dunsfold-villas,DUNSFOLD VILLAS,2,ok,
https://www.edgeprop.sg/landed-house/dyson-ritz,dyson-ritz,DYSON RITZ,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/dyson-ritz"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/ealine-park,ealine-park,EALINE PARK,10,ok,
https://www.edgeprop.sg/landed-house/east-coast-hill,east-coast-hill,EAST COAST HILL,0,ok,
https://www.edgeprop.sg/landed-house/east-coast-park,east-coast-park,EAST COAST PARK,0,ok,
https://www.edgeprop.sg/landed-house/east-coast-terrace,east-coast-terrace,EAST COAST TERRACE,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/east-coast-terrace"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/east-moon-park,east-moon-park,EAST MOON PARK,8,ok,
https://www.edgeprop.sg/landed-house/east-tudor,east-tudor,EAST TUDOR,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/east-tudor"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/east-view-garden,east-view-garden,EAST VIEW GARDEN,0,ok,
https://www.edgeprop.sg/landed-house/east-view-park,east-view-park,EAST VIEW PARK,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/east-view-park"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/eastern-garden,eastern-garden,EASTERN GARDEN,2,ok,
https://www.edgeprop.sg/landed-house/eastern-grove,eastern-grove,EASTERN GROVE,20,ok,
https://www.edgeprop.sg/landed-house/eastrees,eastrees,EASTREES,10,ok,
https://www.edgeprop.sg/landed-house/eastwood-garden-terraces,eastwood-garden-terraces,EASTWOOD GARDEN TERRACES,0,ok,
https://www.edgeprop.sg/landed-house/eastwood-gardens,eastwood-gardens,EASTWOOD GARDENS,8,ok,
https://www.edgeprop.sg/landed-house/eastwood-green-terraces,eastwood-green-terraces,EASTWOOD GREEN TERRACES,20,ok,
https://www.edgeprop.sg/landed-house/eastwood-park,eastwood-park,EASTWOOD PARK,100,ok,
https://www.edgeprop.sg/landed-house/eastwood-terrace,eastwood-terrace,EASTWOOD TERRACE,2,ok,
https://www.edgeprop.sg/landed-house/eastwood-ville,eastwood-ville,EASTWOOD VILLE,0,ok,
https://www.edgeprop.sg/landed-house/eastwood-walk-gardens,eastwood-walk-gardens,EASTWOOD WALK GARDENS,20,ok,
https://www.edgeprop.sg/landed-house/eaton-park,eaton-park,EATON PARK,0,error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.edgeprop.sg/landed-house/eaton-park"", waiting until ""domcontentloaded""
"
https://www.edgeprop.sg/landed-house/eco,eco,ECO,0,ok,
https://www.edgeprop.sg/landed-house/eden-park,eden-park,EDEN PARK,80,ok,
https://www.edgeprop.sg/landed-house/edgeprop-glass-house,edgeprop-glass-house,EdgeProp @ Glass House,0,ok,
https://www.edgeprop.sg/landed-house/eight-east-coast,eight-east-coast,EIGHT @ EAST COAST,20,ok,
https://www.edgeprop.sg/landed-house/eight-riversuites,eight-riversuites,EIGHT RIVERSUITES,0,ok,
https://www.edgeprop.sg/landed-house/eleven-holland,eleven-holland,ELEVEN @ HOLLAND,71,ok,
https://www.edgeprop.sg/landed-house/elias-terrace,elias-terrace,ELIAS TERRACE,80,ok,
https://www.edgeprop.sg/landed-house/elite-court,elite-court,ELITE COURT,8,ok,
https://www.edgeprop.sg/landed-house/elite-residences,elite-residences,ELITE RESIDENCES,0,ok,
https://www.edgeprop.sg/landed-house/emerald-hill-conservation-area,emerald-hill-conservation-area,EMERALD HILL CONSERVATION AREA,70,ok,
https://www.edgeprop.sg/landed-house/enchante,enchante,Enchante,0,ok,
https://www.edgeprop.sg/landed-house/enchanteold,enchanteold,Enchante(OLD),1,ok,
https://www.edgeprop.sg/landed-house/eng-aun-park,eng-aun-park,ENG AUN PARK,70,ok,
https://www.edgeprop.sg/landed-house/eng-kong-green,eng-kong-green,ENG KONG GREEN,10,ok,
https://www.edgeprop.sg/landed-house/eng-kong-park,eng-kong-park,ENG KONG PARK,128,ok,
https://www.edgeprop.sg/landed-house/eng-kong-villas,eng-kong-villas,ENG KONG VILLAS,3,ok,
https://www.edgeprop.sg/landed-house/english-villas,english-villas,ENGLISH VILLAS,20,ok,
https://www.edgeprop.sg/landed-house/este-villa,este-villa,ESTE VILLA,163,ok,
https://www.edgeprop.sg/landed-house/estrivillas,estrivillas,ESTRIVILLAS,60,ok,
https://www.edgeprop.sg/landed-house/euhabitat,euhabitat,EUHABITAT,10,ok,
https://www.edgeprop.sg/landed-house/evergreen-garden,evergreen-garden,EVERGREEN GARDEN,40,ok,
https://www.edgeprop.sg/landed-house/ewart-park,ewart-park,EWART PARK,10,ok,
https://www.edgeprop.sg/landed-house/excelsior-gardens,excelsior-gardens,EXCELSIOR GARDENS,40,ok,
https://www.edgeprop.sg/landed-house/faber-garden,faber-garden,FABER GARDEN,50,ok,
https://www.edgeprop.sg/landed-house/faber-hills,faber-hills,FABER HILLS,270,ok,
https://www.edgeprop.sg/landed-house/fairwood-park,fairwood-park,FAIRWOOD PARK,5,ok,
https://www.edgeprop.sg/landed-house/fame-court,fame-court,FAME COURT,10,ok,
https://www.edgeprop.sg/landed-house/fanta-garden,fanta-garden,FANTA GARDEN,20,ok,
