Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
CANBERRA CRESCENT RESIDENCES,"1,991,000",990.29,"2,011",Jan-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,641",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,067,400",990.29,"2,088",Dec-25,CANBERRA CRESCENT,New Sale,Strata,92,"22,472",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,432,000","1,216.33","1,999",Dec-25,CANBERRA CRESCENT,New Sale,Strata,113,"21,522",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,438,200","1,216.33","2,005",Dec-25,CANBERRA CRESCENT,New Sale,Strata,113,"21,577",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,330,100","1,173.28","1,986",Dec-25,CANBERRA CRESCENT,New Sale,Strata,109,"21,377",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"1,621,300",796.54,"2,035",Dec-25,CANBERRA CRESCENT,New Sale,Strata,74,"21,909",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,563,100",796.54,"1,962",Dec-25,CANBERRA CRESCENT,New Sale,Strata,74,"21,123",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,602,100",796.54,"2,011",Dec-25,CANBERRA CRESCENT,New Sale,Strata,74,"21,650",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,602,100",796.54,"2,011",Dec-25,CANBERRA CRESCENT,New Sale,Strata,74,"21,650",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,731,500",882.65,"1,962",Nov-25,CANBERRA CRESCENT,New Sale,Strata,82,"21,116",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,318,600","1,173.28","1,976",Nov-25,CANBERRA CRESCENT,New Sale,Strata,109,"21,272",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"1,986,000",990.29,"2,005",Nov-25,CANBERRA CRESCENT,New Sale,Strata,92,"21,587",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"1,606,100",796.54,"2,016",Nov-25,CANBERRA CRESCENT,New Sale,Strata,74,"21,704",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,606,100",796.54,"2,016",Nov-25,CANBERRA CRESCENT,New Sale,Strata,74,"21,704",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,003,300",990.29,"2,023",Nov-25,CANBERRA CRESCENT,New Sale,Strata,92,"21,775",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,774,700",882.65,"2,011",Nov-25,CANBERRA CRESCENT,New Sale,Strata,82,"21,643",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
