project,block,unit,area_sqft,bedrooms,chart_status,chart_sold_date,source_url,source_as_of,huttons_status,status_conflict,huttons_source_url,price_status,price_sgd,historical_price_min_sgd,historical_price_max_sgd,source_observation_count,distinct_date_price_area_events,earliest_transaction_date,latest_transaction_date,price_source_urls,review_note
CANBERRA CRESCENT RESIDENCES,51,#07-04,667,2,sold,2025-08-13,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1336100,1336100,1336100,1,1,2025-08-14,2025-08-14,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#07-05,797,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1538800,1538800,1538800,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#07-06,990,3,sold,2025-10-20,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1994800,1994800,1994800,1,1,2025-10-21,2025-10-21,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#07-07,990,3,sold,2026-01-09,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1991000,1991000,1991000,2,1,2026-01-06,2026-01-06,https://propertynoob.com/condo/canberra-crescent-residences/sales|https://propertystory.sg/canberra-crescent-residences/,
CANBERRA CRESCENT RESIDENCES,51,#07-08,797,3,sold,2025-08-23,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1519000,1519000,1519000,1,1,2025-08-23,2025-08-23,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#06-01,570,2,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1101000,1101000,1101000,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#06-02,883,3,sold,2025-09-17,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1731400,1731400,1731400,1,1,2025-09-16,2025-09-16,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#06-03,990,3,sold,2025-10-29,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1988400,1988400,1988400,1,1,2025-10-30,2025-10-30,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#06-04,667,2,sold,2025-08-23,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1333100,1333100,1333100,1,1,2025-08-23,2025-08-23,https://propertynoob.com/condo/canberra-crescent-residences/sales,
CANBERRA CRESCENT RESIDENCES,51,#06-05,797,3,sold,2025-08-01,https://canberracrescent.isaacyee.com/units,2026-09-20,sold,False,https://portal.huttonsgroup.com/public/pricelist/R070030E?pid=697564dce09a4511a8d56e739ecdaabd,published_full_unit_price,1535000,1535000,1535000,1,1,2025-08-02,2025-08-02,https://propertynoob.com/condo/canberra-crescent-residences/sales,
