Project,planning_area,Postal District,Date of Sale,Address,Street,unit_number,unit_floor,unit_stack,unit_number_status,unit_number_source,Bedrooms,Unit Price ($psf),Price ($),Type,Tenure,Sale Type,Area (sqft),Area (sqm),Type of Area,Purchaser Address,Source,source_quality,source_url,source_slug,source_page,source_row
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,2 Feb 2026,57 CANBERRA CRESCENT #11-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2036,2476000,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,9
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,2 Feb 2026,55 CANBERRA CRESCENT #05-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2056,2035600,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,4,10
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,30 Jan 2026,55 CANBERRA CRESCENT #09-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1981,2324300,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,1
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,27 Jan 2026,55 CANBERRA CRESCENT #04-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1957,2295600,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,2
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,26 Jan 2026,55 CANBERRA CRESCENT #06-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1966,2307100,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,3
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,20 Jan 2026,55 CANBERRA CRESCENT #07-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1971,2312800,Apartment,99 yrs from 04/11/2024,New Sale,1173,108.975,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,4
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,13 Jan 2026,53 CANBERRA CRESCENT #01-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,1987,1732200,Apartment,99 yrs from 04/11/2024,New Sale,872,81.011,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,5
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,10 Jan 2026,55 CANBERRA CRESCENT #01-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2035,1621300,Apartment,99 yrs from 04/11/2024,New Sale,797,74.044,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,6
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,10 Jan 2026,51 CANBERRA CRESCENT #05-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2025,2004900,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,7
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,6 Jan 2026,51 CANBERRA CRESCENT #07-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2011,1991000,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,5,8
