record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url
propertynoob-261,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#09-25,2025-10-17,1618100,797,2031,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-260,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#02-16,2025-10-17,1551400,797,1948,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-259,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-19,2025-10-16,2240200,1163,1927,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-258,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#11-24,2025-10-15,1626200,797,2042,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-257,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-31,2025-10-13,1761400,883,1996,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-256,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#06-24,2025-10-13,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-255,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#05-16,2025-10-10,1563000,797,1962,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-254,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#03-18,2025-10-09,2267000,1173,1932,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-253,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#06-16,2025-10-08,1566900,797,1967,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-252,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#03-08,2025-10-08,1518800,797,1907,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-251,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#04-15,2025-10-06,1727800,872,1982,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-250,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#07-16,2025-10-06,1570900,797,1972,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-249,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#09-03,2025-10-04,2003500,990,2023,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-248,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-32,2025-09-29,1333500,667,1998,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-247,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-02,2025-09-26,1727200,883,1957,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-246,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#02-12,2025-09-25,1335800,667,2002,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-245,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#03-32,2025-09-23,1336700,667,2003,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-244,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#02-05,2025-09-22,1534700,797,1927,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-243,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#03-04,2025-09-21,1336200,667,2002,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-242,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#08-26,2025-09-20,2031400,990,2051,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-241,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#10-25,2025-09-19,1622200,797,2037,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-240,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#04-08,2025-09-17,1522900,797,1912,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-239,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#12-32,2025-09-17,1367000,667,2048,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-238,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#06-02,2025-09-16,1731400,883,1962,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-237,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#04-31,2025-09-15,1770300,883,2006,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-236,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#07-24,2025-09-15,1610000,797,2021,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-235,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#07-02,2025-09-14,1735700,883,1966,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-234,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#04-19,2025-09-13,2245800,1163,1932,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-233,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#08-02,2025-09-12,1740100,883,1971,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-232,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#04-04,2025-09-12,1339200,667,2007,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
