record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url,linked_unit,unit_link_status,candidate_unit_count,candidate_units,chart_sold_date,transaction_minus_chart_days,local_ura_matching_record_count,current_edgeprop_matching_record_count,local_ura_check
propertynoob-294,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#02-24,2025-11-19,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-24,published_full_unit,1,#02-24,2025-11-18,1,2,1,matching_public_signature_not_unit_proof
propertynoob-293,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#02-25,2025-11-18,1606100,797,2016,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-25,published_full_unit,1,#02-25,2025-11-22,-4,2,1,matching_public_signature_not_unit_proof
propertynoob-292,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-03,2025-11-17,2003300,990,2023,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-03,published_full_unit,1,#05-03,2025-11-22,-5,1,1,matching_public_signature_not_unit_proof
propertynoob-291,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#01-31,2025-11-15,1774700,883,2011,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#01-31,published_full_unit,1,#01-31,2025-11-14,1,1,1,matching_public_signature_not_unit_proof
propertynoob-290,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#05-26,2025-11-14,2036600,990,2057,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-26,published_full_unit,1,#05-26,2025-11-13,1,1,1,matching_public_signature_not_unit_proof
propertynoob-289,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#05-25,2025-11-13,1618200,797,2032,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-25,published_full_unit,1,#05-25,2025-11-13,0,1,1,matching_public_signature_not_unit_proof
propertynoob-288,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#03-25,2025-11-11,1610100,797,2021,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#03-25,published_full_unit,1,#03-25,2025-11-10,1,1,1,matching_public_signature_not_unit_proof
propertynoob-287,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#10-26,2025-11-08,2062200,990,2082,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#10-26,published_full_unit,1,#10-26,2025-11-08,0,1,1,matching_public_signature_not_unit_proof
propertynoob-286,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#02-18,2025-11-05,2284200,1173,1947,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-18,published_full_unit,1,#02-18,2025-11-06,-1,1,1,matching_public_signature_not_unit_proof
propertynoob-285,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#08-14,2025-11-01,2361000,1216,1941,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#08-14,published_full_unit,1,#08-14,2025-10-31,1,1,1,matching_public_signature_not_unit_proof
