name,url,slug
GERALD GARDENS,https://www.edgeprop.sg/landed-house/gerald-gardens,gerald-gardens
GERALD MUGLISTON,https://www.edgeprop.sg/landed-house/gerald-mugliston,gerald-mugliston
GERALD MUGLISTON ESTATE,https://www.edgeprop.sg/landed-house/gerald-mugliston-estate,gerald-mugliston-estate
GEYLANG CONSERVATION AREA,https://www.edgeprop.sg/landed-house/geylang-conservation-area,geylang-conservation-area
GEYLANG HERITAGE,https://www.edgeprop.sg/landed-house/geylang-heritage,geylang-heritage
GILSTEAD 68,https://www.edgeprop.sg/landed-house/gilstead-68,gilstead-68
GILSTEAD BROOKS,https://www.edgeprop.sg/landed-house/gilstead-brooks,gilstead-brooks
GLASGOW GREEN,https://www.edgeprop.sg/landed-house/glasgow-green,glasgow-green
GLASGOW VILLA,https://www.edgeprop.sg/landed-house/glasgow-villa,glasgow-villa
GOLDEN CHUAN VILLE,https://www.edgeprop.sg/landed-house/golden-chuan-ville,golden-chuan-ville
GOLDEN HILL ESTATE,https://www.edgeprop.sg/landed-house/golden-hill-estate,golden-hill-estate
