lat,lon,name,mainlevel_code,type_code,zone_code,nature_code,autonomous_ind,gifted_ind,ip_ind,sap_ind,postal_code
1.372460639280005,103.9570202861143,CASUARINA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518935
1.354525170657562,103.8449008048039,CATHOLIC HIGH SCHOOL,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,BOYS' SCHOOL,Yes,Yes,Yes,Yes,579767
1.324556057832193,103.8350288423532,CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,297822
1.333758002163343,103.8739330648855,CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY (S1-S4),GOVERNMENT SCHOOL,SOUTH,GIRLS' SCHOOL,Yes,No,Yes,No,349692
1.335660843562641,103.8756200625899,CEDAR PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,349700
1.339506300728762,103.9532455255639,CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529894
1.340231639516331,103.9520801140343,CHANGKAT PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529896
1.306485352770875,103.9111056204962,CHIJ (KATONG) PRIMARY,PRIMARY,GOVERNMENT-AIDED SCH,EAST,GIRLS' SCHOOL,No,No,No,No,424821
1.275022722964019,103.8281575648959,CHIJ (KELLOCK),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,99757
1.306442680348951,103.9171443500279,CHIJ KATONG CONVENT,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,GIRLS' SCHOOL,Yes,No,No,No,449150
1.357429522696155,103.8640093973725,CHIJ OUR LADY OF GOOD COUNSEL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,558979
1.37357409699146,103.8977689581267,CHIJ OUR LADY OF THE NATIVITY,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,534793
1.366498657202474,103.7674574679633,CHIJ OUR LADY QUEEN OF PEACE,PRIMARY,GOVERNMENT-AIDED SCH,WEST,GIRLS' SCHOOL,No,No,No,No,679287
1.332752647115879,103.8418472637856,CHIJ PRIMARY (TOA PAYOH),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,319765
1.332460799483043,103.8432716250826,CHIJ SECONDARY (TOA PAYOH),SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,Yes,No,No,No,319764
1.39175222260368,103.9024649915428,CHIJ ST. JOSEPH'S CONVENT,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,GIRLS' SCHOOL,No,No,No,No,548595
1.373476878789176,103.8342532694353,CHIJ ST. NICHOLAS GIRLS' SCHOOL,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,GIRLS' SCHOOL,Yes,No,Yes,Yes,569405
1.275351775100545,103.8224407016418,CHIJ ST. THERESA'S CONVENT,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,99138
1.438395628970071,103.8393091738164,CHONGFU SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,CO-ED SCHOOL,No,No,No,No,768959
1.350611305685559,103.9513172975512,CHONGZHENG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529392
1.426567809014548,103.7934511052413,CHRIST CHURCH SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,CO-ED SCHOOL,No,No,No,No,737924
1.377608283025931,103.7412704409445,CHUA CHU KANG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,689905
1.383334226370742,103.7551032758298,CHUA CHU KANG SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,688848
1.304835572427205,103.8907127750525,CHUNG CHENG HIGH SCHOOL (MAIN),SECONDARY (S1-S4),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,Yes,No,No,Yes,439012
1.419226035861755,103.8373907828488,CHUNG CHENG HIGH SCHOOL (YISHUN),SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,CO-ED SCHOOL,No,No,No,No,768547
1.315057313205023,103.7629666749953,CLEMENTI PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,129903
1.315539129450737,103.7620205985233,CLEMENTI TOWN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,129904
1.319203959348025,103.745637393049,COMMONWEALTH SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,Yes,No,No,No,608784
1.394430935985471,103.8979049589738,COMPASSVALE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,545091
1.396140839520089,103.899847164494,COMPASSVALE SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,545083
1.380265161114646,103.7365542956354,CONCORD PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,689814
1.351485487726621,103.7075784049433,CORPORATION PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648347
1.293319470771038,103.8175444617547,CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),GOVERNMENT SCHOOL,SOUTH,GIRLS' SCHOOL,Yes,No,No,No,247961
1.343119804507612,103.742628105304,CREST SECONDARY SCHOOL,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,609561
1.335246028297487,103.9212864353203,DAMAI PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,479226
1.33692798510394,103.9270916534379,DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,479229
1.359062576166775,103.7481222502533,DAZHONG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659441
1.394793960358675,103.7431233580835,DE LA SALLE SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,No,No,No,689285
1.365997025677177,103.8525457724221,DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569277
1.363579007928712,103.7447210910693,DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659204
1.299962160149622,103.8829415598902,DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,Yes,Yes,Yes,Yes,436895
1.360652583370217,103.9562139069653,DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,Yes,No,No,No,529093
1.352770138419432,103.9617431395385,EAST SPRING PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529258
1.356225089925808,103.9606407002974,EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529231
1.400091395109958,103.907847599114,EDGEFIELD PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828869
1.400593099818258,103.9026873854646,EDGEFIELD SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,828814
1.374512693777769,103.9451281171382,ELIAS PARK PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518866
1.453881704172645,103.8171747016388,ENDEAVOUR PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,757521
1.362137571835474,103.8412861691214,EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,Yes,No,573838
1.444148354515854,103.7945452959214,EVERGREEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,738908
1.441491312737382,103.794137756171,EVERGREEN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,738489
1.301004419167346,103.785455606827,FAIRFIELD METHODIST SCHOOL (PRIMARY),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,139648
1.301633743958234,103.7840996471483,FAIRFIELD METHODIST SCHOOL (SECONDARY),SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,Yes,No,No,No,139649
1.312430780219046,103.8507709290222,FARRER PARK PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,217567
1.3297844580718,103.9318244131565,FENGSHAN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,469680
1.397446948718748,103.8801237417294,FERN GREEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,797538
1.389979398745664,103.8741009799084,FERNVALE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,797701
1.340142741398286,103.8561755389325,FIRST TOA PAYOH PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,319252
1.336643111929809,103.6996828181026,FRONTIER PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648200
1.430639757635735,103.7781751925788,FUCHUN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,739063
