stop_code,lat,lon,route_count,stop_name
13091,1.29593,103.83938,4,Aft Kim Yam Rd
13099,1.29578,103.83961,5,Bef Kim Yam Rd
13101,1.29414,103.84231,4,Opp Mohd Sultan Rd
13109,1.29351,103.84272,5,UE Sq/Bef Mohd Sultan Rd
13119,1.29425,103.8325,9,Great World Stn Exit 3
13121,1.29409,103.83084,7,Opp Great World City
13141,1.29764,103.82998,8,Aft Zion Full Gospel Ch
13159,1.29796,103.83053,8,Bef Zion Full Gospel Ch
13169,1.2991,103.82839,1,Grange 80 Condo
13171,1.29907,103.82651,1,Gramercy Pk
13179,1.29926,103.82665,1,Cliveden At Grange
13181,1.30023,103.82403,1,Aft One Tree Hill
13189,1.30038,103.82415,1,Bef One Tree Hill
13191,1.30246,103.82978,8,Opp Orchard Stn Exit 12
13199,1.30213,103.82988,8,Aft Orchard Stn Exit 12
13201,1.30454,103.8221,2,British High Commission
13209,1.30403,103.82206,2,Opp British High Comsn
14009,1.26704,103.81901,10,HarbourFront Int
14011,1.26795,103.82553,7,Bef Mt Faber Lodge
14019,1.26849,103.82572,7,Opp Mt Faber Lodge
14021,1.27133,103.82478,5,The Pearl @ Mt Faber
14029,1.27247,103.82419,5,Blk 105
14031,1.27624,103.82306,8,St. Theresa's Convent
14039,1.27664,103.82346,8,Opp St. Theresa's Convent
14041,1.27327,103.81247,5,Blk 54
14049,1.27324,103.81304,4,Opp Blk 55
14051,1.27585,103.81516,5,Aft Telok Blangah Hts
14059,1.27603,103.81561,5,Bef Telok Blangah Hts
14061,1.27231,103.83862,9,Opp Former Railway Stn
14069,1.27254,103.83641,9,Former Railway Stn
14071,1.2722,103.8339,8,Keppel Workshop
14081,1.2709,103.83089,8,Tg Pagar DP Blk F5
14089,1.27046,103.82979,8,Opp Tg Pagar DP Blk F5
14101,1.26838,103.82826,8,Opp Keppel DP Blk 517
14109,1.26805,103.82722,8,Keppel DP Blk 517
14119,1.26592,103.82228,16,Opp VivoCity
14121,1.26591,103.81926,12,Opp HarbourFront Int
14129,1.26608,103.81978,16,HarbourFront Stn Exit A
14131,1.2674,103.81675,14,Caribbean at Keppel Bay
14139,1.26864,103.81547,14,Bef Seah Im Rd
14141,1.26552,103.82211,16,HarbourFront Stn/Vivocity
14151,1.26965,103.81294,14,Opp Hotel Faber Pk
14159,1.26994,103.81315,14,Hotel Faber Pk
14161,1.27076,103.8101,14,Telok Blangah Stn
14169,1.27119,103.80942,14,Opp Telok Blangah Stn
14171,1.27146,103.80655,13,Opp Yeo's Bldg
14179,1.27188,103.8063,13,Yeo's Bldg
14189,1.27269,103.80398,13,Aft Alexandra Rd
14191,1.28122,103.81211,4,Blk 105 CP
14199,1.28132,103.81275,4,Blk 118
14201,1.28167,103.80915,4,Blk 110
14209,1.28176,103.80959,4,Aft Hewlett Packard
14211,1.28161,103.80522,4,ISS Intl Sch
14219,1.28219,103.80685,4,Opp Blk 114
14221,1.27359,103.82893,4,Opp Ch of St. Teresa
14229,1.27371,103.82858,4,Ch of St. Teresa
14231,1.27101,103.82667,4,Keppel DP Blk 519
14239,1.27178,103.82714,4,Opp Keppel DP Blk 519
14241,1.27914,103.81687,8,Opp Blk 1
14249,1.27947,103.8174,7,Blk 1
14259,1.27785,103.81866,2,Blk 11
14269,1.27758,103.81999,2,Blk 10
14271,1.27568,103.81915,4,Al-Amin Mque
14279,1.27592,103.81921,6,Blk 25
14281,1.277,103.81804,4,SAFRA Mt Faber
14291,1.27468,103.82133,6,Blk 27
14299,1.27489,103.82127,4,Opp Blk 27
14309,1.27129,103.82303,2,Blk 41
14319,1.27348,103.82064,2,Blk 28
14329,1.27455,103.80943,2,Blk 67
14331,1.27695,103.81107,2,Opp Blk 70B
14339,1.27666,103.81125,3,Blk 70A
14341,1.27593,103.81347,2,Opp Blk 59
14349,1.27579,103.8134,3,Blk 59
14351,1.27275,103.81036,1,Aft Blk 48
14359,1.27289,103.81035,2,Blk 50
14369,1.28154,103.80366,4,The Interlace
14379,1.27244,103.82379,7,Blk 40
14381,1.27413,103.82554,3,Blk 109
14389,1.27428,103.82501,3,Aft Radin Mas Pr Sch
14391,1.27791,103.80859,2,Opp Blk 85
14399,1.27764,103.80859,2,Blk 85
14471,1.28201,103.80665,4,Blk 114
14489,1.27238,103.82159,2,Blk 36 Mkt/FC
14491,1.27279,103.80795,2,Opp Telok Blangah Mkt/FC
14499,1.27291,103.80782,1,Telok Blangah Mkt/FC
14501,1.27687,103.80648,2,Opp Blk 91A
14509,1.27565,103.80681,1,Blk 92B
14519,1.25671,103.82084,1,Resorts World Sentosa
14521,1.2536,103.82043,1,Village Hotel
14529,1.25323,103.82122,1,Opp Village Hotel
14539,1.25143,103.81855,1,Beach Stn Ter
15041,1.27463,103.80189,12,Alexandra Retail Ctr
15049,1.27459,103.80216,12,Opp Alexandra Retail Ctr
15051,1.27698,103.80238,12,Alexandra Pt
15059,1.27686,103.8027,12,Opp Alexandra Pt
15071,1.28142,103.78701,1,Opp Lor Sarhad
15079,1.28078,103.78683,2,Aft Lor Sarhad
15091,1.28291,103.78781,1,Opp Natl Leadership Inst
15099,1.28306,103.78789,2,Natl Leadership Inst
15101,1.28618,103.78562,1,Opp LP 31
15109,1.28592,103.78581,2,LP 30
