lat,lon,name,stn_code,line,operational,network_status,planned_opening,status_as_of,network_status_source,geometry_basis,geometry_source
1.313644996150244,103.86289119741424,Bendemeer,DT23,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3215128864792325,103.87191146433439,Geylang Bahru,DT24,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.32686568205406,103.88325305881898,Mattar,DT25,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3262483643227896,103.88987764662726,MacPherson,DT26,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3299552645270356,103.89924886676648,Ubi,DT27,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3349629787882433,103.90845515816943,Kaki Bukit,DT28,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3347556341377083,103.91787672273168,Bedok North,DT29,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3623400896876234,103.76742925198232,Hillview,DT3,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3365987357963531,103.93228754664719,Bedok Reservoir,DT30,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3455175069678105,103.93842947024064,Tampines West,DT31,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3542978976958786,103.94399292750927,Tampines,DT32,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3562130023610186,103.95480497245946,Tampines East,DT33,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3417404783166411,103.96147329708074,Upper Changi,DT34,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3349714801716055,103.96204661805372,Expo,DT35,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3287345373811676,103.96486809286563,Xilin,DT36,Downtown Line,0,under_construction,2026-H2,2026-08-08,lta_dtl_extensions,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3203959600538664,103.95720762125941,Sungei Bedok,DT37,Downtown Line,0,under_construction,2026-H2,2026-08-08,lta_dtl_extensions,derived_ura_station_outline_union_centroid,ura_mp2019_rail_station_sep_2025
1.3545108356453068,103.76910392899998,Hume,DT4,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.341203562716049,103.77581897683307,Beauty World,DT5,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3356381112935833,103.78387153213814,King Albert Park,DT6,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3307848577315728,103.79732046041522,Sixth Avenue,DT7,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3258706042426365,103.8073308651868,Tan Kah Kee,DT8,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.322229299461947,103.81546922960197,Botanic Gardens,DT9,Downtown Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3729518782222085,103.94925763871005,Pasir Ris,EW1,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3113966417459602,103.87131526313172,Kallang,EW10,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3073717305406238,103.86283780137497,Lavender,EW11,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.300130337617512,103.85628181256011,Bugis,EW12,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2929332373080271,103.8526085043901,City Hall,EW13,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.284067270013051,103.85145931530387,Raffles Place,EW14,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2765150316206098,103.84585358294987,Tanjong Pagar,EW15,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2806594461192335,103.83931247739983,Outram Park,EW16,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2862197403648734,103.82703434066724,Tiong Bahru,EW17,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2896195391445053,103.81679002791165,Redhill,EW18,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.2946113321306543,103.80604523694412,Queenstown,EW19,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3542978976958786,103.94399292750927,Tampines,EW2,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3024476462799686,103.79829071892578,Commonwealth,EW20,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3067609114617156,103.79038477947218,Buona Vista,EW21,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3113946902168594,103.77864915478327,Dover,EW22,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3150782269966002,103.7652330284684,Clementi,EW23,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.333209024406938,103.74226323357735,Jurong East,EW24,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3421449756432844,103.73281439469824,Chinese Garden,EW25,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3442631495697484,103.72096531649909,Lakeside,EW26,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3386040235633818,103.70605907165447,Boon Lay,EW27,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3375865012263775,103.69731852936503,Pioneer,EW28,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3277168592366733,103.6783869369899,Joo Koon,EW29,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3431974420302133,103.95337711674757,Simei,EW3,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.319564314920689,103.66059386897847,Gul Circle,EW30,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3210532515588156,103.64906349734215,Tuas Crescent,EW31,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3299818232294567,103.63962756178739,Tuas West Road,EW32,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3403799470752327,103.63681865744921,Tuas Link,EW33,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3272540817841356,103.94654794344736,Tanah Merah,EW4,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3240113188941398,103.93017252010469,Bedok,EW5,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3210380696122812,103.91294752872169,Kembangan,EW6,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3197792312864234,103.90336181818702,Eunos,EW7,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
1.3176684105528589,103.89259502750474,Paya Lebar,EW8,East-West Line,1,open,,2026-08-08,lta_system_map_jul_2026,derived_lta_station_polygon_union_centroid,lta_train_station_mar_2026
