estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,model_version,band,value_score,value_band,mult,value_basis,reported
SERANGOON,hdb_resale,4226,0.10909347613474996,0.1083244901657541,decimal,2.05,3.49,3.0,5.0,3.0,1.5,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.5,2.0,4.0,4.4,3.15,1.0,3.15,3.25,3.25,False,2.1.0,C,2.8266095729186067,D,0.8973363723551133,direct,2.83
BISHAN,hdb_resale,4192,0.2705402651893767,0.26861790423350623,decimal,3.63,3.34,4.0,5.0,3.55,4.5,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,1.8,3.62,1.0,3.62,3.66,3.66,False,2.1.0,B,2.7672557401695705,D,0.7644352873396604,direct,2.77
MARINE PARADE,hdb_resale,1461,0.26414579129699334,0.25883098664312776,decimal,2.63,3.0,4.3,4.4,3.4,3.5,3.0,3.0,4.0,1.0,5.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,2.0,3.4,3.03,1.0,3.03,3.07,3.07,False,2.1.0,C,2.3390190518784078,F,0.7719534824681215,direct,2.34
LENTOR,hdb_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.46,,,,2.1.0,,,N/A,,no_hdb_segment,no private-segment match
HOLLAND VILLAGE,hdb_resale,0,,,band_only,,,,,,,,,,,,,,,,,,,,,,,3.85,,,,2.1.0,,,N/A,,no_hdb_segment,no private-segment match
SEMBAWANG,private_resale,3290,-0.2179229533407563,-0.2159537700274364,decimal,3.67,3.66,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.5,1.0,4.0,3.4,3.89,1.0,3.89,3.95,3.95,False,2.1.0,B,4.902127766581981,A,1.24104500419797,direct,4.9
CANBERRA,private_resale,3290,-0.2179229533407563,-0.2159537700274364,decimal,,,,,,,,,,,,,,,,,,,,,,,3.61,,,,2.1.0,,4.480172465154672,B+,1.24104500419797,proxy_from:SEMBAWANG,4.48
TAMPINES,private_resale,6883,-0.13384287146932827,-0.13326204026086896,decimal,4.29,3.34,3.3,5.0,4.6,5.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,2.5,2.0,4.0,1.8,3.77,1.0,3.77,3.79,3.79,False,2.1.0,B,4.330262048014832,B+,1.1425493530382143,direct,4.33
TAMPINES WEST,private_resale,6883,-0.13384287146932827,-0.13326204026086896,decimal,,,,,,,,,,,,,,,,,,,,,,,3.74,,,,2.1.0,,4.273134580362922,B+,1.1425493530382143,proxy_from:TAMPINES,4.27
BEDOK,private_resale,5805,-0.02666034569150355,-0.02652327450542909,decimal,4.35,4.55,4.0,4.4,4.75,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,4.5,4.5,1.0,4.0,4.8,4.12,1.0,4.12,4.09,4.09,False,2.1.0,B+,4.199931621494057,B+,1.0268781470645618,direct,4.2
