profile_id,estate,tenure,eligible,rank,profile_score,soft_weight_covered,filter_reasons,borderline_flags,persona,horizon,life_path,liveability_score,liveability_band,life_path_end_score,life_path_delta,value_score,value_band,value_basis,value_n,employment_score,employment_band,lease_score,lease_band,provision_score,provision_band,archetype,measured_only
single-pro-condo-commute-value,KALLANG,condo,False,,3.516,0.909,value_below:C,,SinglePro,T0,settling_single,3.764,B,3.804,0.211,2.8342718348343756,D,direct,996.0,3.92,B,,,3.71,,B,False
single-pro-condo-commute-value,SEMBAWANG,condo,False,,3.454,0.909,liveability_below:C;employment_below:C,,SinglePro,T0,settling_single,2.712,D,3.947,1.39,4.946926671941449,A,direct,2974.0,2.45,F,,,3.95,,B,False
single-pro-condo-commute-value,CLEMENTI,condo,False,,3.408,0.909,liveability_below:C,,SinglePro,T0,settling_single,2.506,D,3.603,1.238,3.943377619648342,B,direct,7896.0,4.28,B+,,,3.73,,B,False
single-pro-condo-commute-value,TAMPINES,condo,False,,3.408,0.909,liveability_below:C,,SinglePro,T0,settling_single,2.628,D,3.819,1.305,4.355965967330385,B+,direct,6788.0,3.35,C,,,3.79,,A,False
single-pro-condo-commute-value,YISHUN,condo,False,,3.389,0.636,value_below:C;employment_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,3.702,B,3.886,0.397,,no_data,no_data,,2.5,D,,,3.94,,B,False
single-pro-condo-commute-value,DOVER,condo,False,,3.336,0.909,value_below:C;value_not_direct,,SinglePro,T0,settling_single,3.093,C,3.484,0.548,2.8974997467431405,D,proxy_from:QUEENSTOWN,5700.0,4.4,B+,,,3.51,,F,False
single-pro-condo-commute-value,JURONG EAST,condo,False,,3.309,0.909,liveability_below:C,,SinglePro,T0,settling_single,2.575,D,3.91,1.48,3.753149309301607,B,direct,2432.0,3.88,B,,,3.64,,A,False
single-pro-condo-commute-value,BUKIT TIMAH,condo,False,,3.288,0.909,liveability_below:C,,SinglePro,T0,settling_single,2.689,D,3.849,1.235,3.503985638687981,B,direct,12954.0,3.88,B,,,3.86,,D,False
single-pro-condo-commute-value,TAMPINES EAST,condo,False,,3.212,0.909,liveability_below:C;value_not_direct,,SinglePro,T0,settling_single,2.901,D,3.077,0.273,3.658554093295862,B,proxy_from:TAMPINES,6788.0,3.2,C,,,3.21,,A,False
single-pro-condo-commute-value,CANBERRA,condo,False,,3.196,0.909,liveability_below:C;employment_below:C;value_not_direct,,SinglePro,T0,settling_single,2.496,F,3.615,1.267,4.488189110884221,B+,proxy_from:SEMBAWANG,2974.0,2.45,F,,,3.61,,B,False
single-pro-condo-commute-value,JURONG WEST,condo,False,,3.024,0.636,liveability_below:C;value_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,2.417,F,3.875,1.598,,no_data,no_data,,3.88,B,,,3.6,,B,False
single-pro-condo-commute-value,MARINE PARADE,condo,False,,3.015,0.909,liveability_below:C;value_below:C,,SinglePro,T0,settling_single,2.72,D,2.931,0.338,2.869022554718461,D,direct,10432.0,3.83,B,,,3.07,,D,False
single-pro-condo-commute-value,SERANGOON,condo,False,,2.998,0.909,liveability_below:C,,SinglePro,T0,settling_single,2.105,F,3.578,1.525,3.561381917882235,B,direct,10544.0,3.73,B,,,3.25,,B,False
single-pro-condo-commute-value,SENGKANG,condo,False,,2.925,0.636,liveability_below:C;value_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,2.684,D,3.621,1.088,,no_data,no_data,,3.05,C,,,3.66,,B,False
single-pro-condo-commute-value,WOODLANDS,condo,False,,2.924,0.909,liveability_below:C;employment_below:C,,SinglePro,T0,settling_single,2.273,F,3.354,1.225,3.953176399492724,B,direct,929.0,2.45,F,,,3.43,,A,False
single-pro-condo-commute-value,LENTOR,condo,False,,2.875,0.636,liveability_below:C;value_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,2.506,D,3.607,1.222,,N/A,no_hdb_segment,0.0,3.3,C,,,3.39,,F,False
single-pro-condo-commute-value,PUNGGOL,condo,False,,2.786,0.636,liveability_below:C;value_below:C;employment_below:C;value_n_below:100;value_not_direct,,SinglePro,T0,settling_single,2.759,D,3.661,1.011,,no_data,no_data,,2.45,F,,,3.47,,E,False
single-pro-condo-commute-value,TENGAH,condo,False,,2.172,0.909,liveability_below:C;value_below:C;employment_below:C,,SinglePro,T0,settling_single,1.662,F,3.253,1.697,2.733484306740574,D,direct,863.0,2.0,F,,,2.5,,G,False
forming-family-condo-balanced,TOA PAYOH,condo,True,1,4.197,0.909,,,YoungFam,T5,forming_family,4.3,B+,4.3,0.703,4.226190636977617,B+,direct,3264.0,3.62,B,,,4.13,,B,False
forming-family-condo-balanced,BEDOK,condo,True,2,4.145,0.909,,,YoungFam,T5,forming_family,4.154,B+,4.154,0.714,4.267635163314492,B+,direct,4950.0,3.83,B,,,4.1,,B,False
forming-family-condo-balanced,BUKIT MERAH,condo,True,3,4.016,0.909,,,YoungFam,T5,forming_family,4.082,B+,4.082,0.135,3.799046249539897,B,direct,1745.0,4.22,B+,,,3.99,,B,False
forming-family-condo-balanced,BOON KENG,condo,True,4,3.982,0.909,,,YoungFam,T5,forming_family,3.967,B,3.967,0.112,4.067039452578751,B+,direct,1535.0,3.92,B,,,3.91,,F,False
forming-family-condo-balanced,ANG MO KIO,condo,True,5,3.961,0.909,,,YoungFam,T5,forming_family,4.102,B+,4.102,0.559,4.0425737472639405,B+,direct,4692.0,3.25,C,,,3.69,,B,False
forming-family-condo-balanced,TAMPINES,condo,True,6,3.912,0.909,,,YoungFam,T5,forming_family,3.835,B,3.835,1.207,4.355965967330385,B+,direct,6788.0,3.35,C,,,3.79,,A,False
forming-family-condo-balanced,TAMPINES WEST,condo,True,7,3.898,0.909,,,YoungFam,T5,forming_family,3.84,B,3.84,0.275,4.333100004247286,B+,proxy_from:TAMPINES,6788.0,3.3,C,,,3.73,,A,False
forming-family-condo-balanced,GEYLANG,condo,True,8,3.895,0.909,,,YoungFam,T5,forming_family,3.825,B,3.825,0.933,4.0160333004507,B+,direct,4641.0,4.12,B+,,,3.75,,B,False
forming-family-condo-balanced,CLEMENTI,condo,True,9,3.871,0.909,,,YoungFam,T5,forming_family,3.789,B,3.789,1.283,3.943377619648342,B,direct,7896.0,4.28,B+,,,3.73,,B,False
forming-family-condo-balanced,CHOA CHU KANG,condo,True,10,3.84,0.909,,,YoungFam,T5,forming_family,3.842,B,3.842,0.345,4.100755327322774,B+,direct,5826.0,3.35,C,,,3.67,,B,False
forming-family-condo-balanced,BUKIT TIMAH,condo,True,11,3.766,0.909,,,YoungFam,T5,forming_family,3.848,B,3.848,1.159,3.503985638687981,B,direct,12954.0,3.88,B,,,3.86,,D,False
forming-family-condo-balanced,JURONG EAST,condo,True,12,3.737,0.909,,,YoungFam,T5,forming_family,3.721,B,3.721,1.146,3.753149309301607,B,direct,2432.0,3.88,B,,,3.64,,A,False
forming-family-condo-balanced,BISHAN,condo,True,13,3.681,0.909,,,YoungFam,T5,forming_family,3.761,B,3.761,0.25,3.4977308915449403,C,direct,2807.0,3.73,B,,,3.65,,B,False
forming-family-condo-balanced,WOODLEIGH,condo,True,14,3.644,0.909,,,YoungFam,T5,forming_family,3.663,B,3.663,0.118,3.6498919137533963,B,proxy_from:TOA PAYOH,3264.0,3.58,B,,,3.59,,E,False
forming-family-condo-balanced,SERANGOON,condo,True,15,3.615,0.909,,,YoungFam,T5,forming_family,3.685,B,3.685,1.58,3.561381917882235,B,direct,10544.0,3.73,B,,,3.25,,B,False
forming-family-condo-balanced,QUEENSTOWN,condo,True,16,3.584,0.909,,value_borderline:C,YoungFam,T5,forming_family,3.702,B,3.702,0.423,2.9979910674394343,D,direct,5700.0,4.4,B+,,,3.58,,B,False
forming-family-condo-balanced,TAMPINES EAST,condo,True,17,3.411,0.909,,,YoungFam,T5,forming_family,3.373,C,3.373,0.472,3.658554093295862,B,proxy_from:TAMPINES,6788.0,3.2,C,,,3.21,,A,False
forming-family-condo-balanced,SEMBAWANG,condo,False,,4.127,0.909,employment_below:D,,YoungFam,T5,forming_family,4.092,B+,4.092,1.38,4.946926671941449,A,direct,2974.0,2.45,F,,,3.95,,B,False
forming-family-condo-balanced,HOLLAND VILLAGE,condo,False,,4.012,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,4.013,B+,4.013,0.231,,N/A,no_hdb_segment,0.0,4.17,B+,,,3.85,,D,True
forming-family-condo-balanced,HOUGANG,condo,False,,3.991,0.682,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,4.101,B+,4.101,0.218,,no_data,no_data,,3.35,C,,,4.03,,B,False
