project_name,postal_district,planning_area,property_type,tenure,sale_date,sale_month,type_of_sale,price,area_sqft,area_sqm,unit_price_psf,floor_level,unit_floor,address,bedrooms,sources,match_method
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,2601900,1324.0,123.0,1965,06 to 10,9,57 Canberra Crescent #09-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,2608400,1324.0,123.0,1970,06 to 10,10,57 Canberra Crescent #10-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,2614900,1324.0,123.0,1975,11 to 15,11,57 Canberra Crescent #11-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-03,2025-08,New Sale,1332600,667.0,62.0,1998,01 to 05,5,53 Canberra Crescent #05-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-03,2025-08,New Sale,1538000,797.0,74.0,1930,11 to 15,12,51 Canberra Crescent #12-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-03,2025-08,New Sale,1563300,797.0,74.0,1961,06 to 10,9,53 Canberra Crescent #09-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-03,2025-08,New Sale,1740400,883.0,82.0,1971,11 to 15,11,53 Canberra Crescent #11-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-03,2025-08,New Sale,1766100,883.0,82.0,2000,06 to 10,7,57 Canberra Crescent #07-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-03,2025-08,New Sale,2349600,1216.0,113.0,1932,06 to 10,10,53 Canberra Crescent #10-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-04,2025-08,New Sale,1567200,797.0,74.0,1966,06 to 10,10,53 Canberra Crescent #10-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-04,2025-08,New Sale,2240600,1163.0,108.0,1927,06 to 10,7,55 Canberra Crescent #07-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-05,2025-08,New Sale,1106100,570.0,53.0,1941,06 to 10,6,53 Canberra Crescent #06-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-05,2025-08,New Sale,1355700,667.0,62.0,2033,01 to 05,2,57 Canberra Crescent #02-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-05,2025-08,New Sale,1710300,883.0,82.0,1937,01 to 05,4,53 Canberra Crescent #04-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-06,2025-08,New Sale,2420200,1216.0,113.0,1990,11 to 15,12,55 Canberra Crescent #12-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-09,2025-08,New Sale,1534000,797.0,74.0,1925,11 to 15,11,51 Canberra Crescent #11-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-09,2025-08,New Sale,1601400,797.0,74.0,2009,,4,57 Canberra Crescent #04-XX,3,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-11,2025-08,New Sale,1515000,797.0,74.0,1901,06 to 10,6,51 Canberra Crescent #06-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-12,2025-08,New Sale,1092000,570.0,53.0,1916,01 to 05,3,51 Canberra Crescent #03-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-12,2025-08,New Sale,1098000,570.0,53.0,1926,01 to 05,5,51 Canberra Crescent #05-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-12,2025-08,New Sale,1365900,667.0,62.0,2048,,5,55 Canberra Crescent #05-XX,2,edgeprop_only,edgeprop_only
