project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
BALMY COURT,LORONG 27A GEYLANG,14,GEYLANG,1.314158351344347,103.8849495778525,matched,105,BALMY COURT LORONG 27A GEYLANG,BALMY COURT,LORONG 27A GEYLANG,6 LORONG 27A GEYLANG BALMY COURT SINGAPORE 388105,388105,"project,street"
BAODE BUILDING,LORONG 35 GEYLANG,14,GEYLANG,1.315194010120752,103.8887249799976,matched,105,BAODE BUILDING LORONG 35 GEYLANG,BAODE BUILDING,LORONG 35 GEYLANG,8 LORONG 35 GEYLANG BAODE BUILDING SINGAPORE 387940,387940,"project,street"
BLISS RESIDENCES,JALAN MASJID,14,GEYLANG,1.320128798568964,103.9121277292395,matched,105,BLISS RESIDENCES JALAN MASJID,BLISS RESIDENCES,JALAN MASJID,17 JALAN MASJID BLISS RESIDENCES SINGAPORE 418942,418942,"project,street"
BLISS VILLE,LORONG MELAYU,14,GEYLANG,1.323747156191182,103.9091351227675,matched,105,BLISS VILLE LORONG MELAYU,BLISS VILLE,LORONG MELAYU,69H LORONG MELAYU BLISS VILLE SINGAPORE 417030,417030,"project,street"
BLOSSOM MANSIONS,LORONG 37 GEYLANG,14,GEYLANG,1.315515531254514,103.8896496481294,low_confidence,35,LORONG 37 GEYLANG,NIL,LORONG 37 GEYLANG,LORONG 37 GEYLANG,NIL,street
BLOSSOM VIEW,LORONG 26 GEYLANG,14,GEYLANG,1.311647734845246,103.8850599301044,matched,105,BLOSSOM VIEW LORONG 26 GEYLANG,BLOSSOM VIEW,LORONG 26 GEYLANG,31 LORONG 26 GEYLANG BLOSSOM VIEW SINGAPORE 398498,398498,"project,street"
BOUGAINVILLA APARTMENTS,LORONG 19 GEYLANG,14,GEYLANG,1.313496590081548,103.8797663301235,matched,105,BOUGAINVILLA APARTMENTS LORONG 19 GEYLANG,BOUGAINVILLA APARTMENTS,LORONG 19 GEYLANG,12 LORONG 19 GEYLANG BOUGAINVILLA APARTMENTS SINGAPORE 388493,388493,"project,street"
CALIN MANSIONS,LORONG 33 GEYLANG,14,GEYLANG,1.315524963718822,103.8879754691338,matched,105,CALIN MANSIONS LORONG 33 GEYLANG,CALIN MANSIONS,LORONG 33 GEYLANG,30 LORONG 33 GEYLANG CALIN MANSIONS SINGAPORE 387987,387987,"project,street"
CAMELLIA LODGE,LORONG 31 GEYLANG,14,GEYLANG,1.315355370448744,103.8865358879311,matched,105,CAMELLIA LODGE LORONG 31 GEYLANG,CAMELLIA LODGE,LORONG 31 GEYLANG,31 LORONG 31 GEYLANG CAMELLIA LODGE SINGAPORE 388030,388030,"project,street"
CANAAN,MATTAR ROAD,14,GEYLANG,1.323994434586417,103.8635467545885,needs_review,82,CANAAN,CANAAN CENTRE,SAINT FRANCIS ROAD,84 SAINT FRANCIS ROAD CANAAN CENTRE SINGAPORE 328069,328069,"project,partial_street"
CANBERLIN APARTMENTS,LORONG 16 GEYLANG,14,GEYLANG,1.310684449139915,103.8798347054715,matched,105,CANBERLIN APARTMENTS LORONG 16 GEYLANG,CANBERLIN APARTMENTS,LORONG 16 GEYLANG,60 LORONG 16 GEYLANG CANBERLIN APARTMENTS SINGAPORE 398887,398887,"project,street"
CANBERLIN LODGE,LORONG 6 GEYLANG,14,GEYLANG,1.309446408972717,103.8769288961978,matched,105,CANBERLIN LODGE LORONG 6 GEYLANG,CANBERLIN LODGE,LORONG 6 GEYLANG,69 LORONG 6 GEYLANG CANBERLIN LODGE SINGAPORE 399221,399221,"project,street"
CANNE LODGE,LORONG 3 GEYLANG,14,GEYLANG,1.314174851250088,103.8732782396914,matched,105,CANNE LODGE LORONG 3 GEYLANG,CANNE LODGE,LORONG 3 GEYLANG,75 LORONG 3 GEYLANG CANNE LODGE SINGAPORE 388869,388869,"project,street"
CASA AERATA,LORONG 26 GEYLANG,14,GEYLANG,1.312323937943784,103.8850330904986,matched,105,CASA AERATA LORONG 26 GEYLANG,CASA AERATA,LORONG 26 GEYLANG,9 LORONG 26 GEYLANG CASA AERATA SINGAPORE 398484,398484,"project,street"
CASA EMERALD,LORONG 32 GEYLANG,14,GEYLANG,1.312126847915035,103.8872202211173,matched,105,CASA EMERALD LORONG 32 GEYLANG,CASA EMERALD,LORONG 32 GEYLANG,51 LORONG 32 GEYLANG CASA EMERALD SINGAPORE 398311,398311,"project,street"
CASA SARINA,LORONG SARINA,14,GEYLANG,1.320189672209149,103.9068659282692,matched,105,CASA SARINA LORONG SARINA,CASA SARINA,LORONG SARINA,101 LORONG SARINA CASA SARINA SINGAPORE 416729,416729,"project,street"
CASCATA,TEO KIM ENG ROAD,14,GEYLANG,1.328402035224417,103.90860634862,matched,105,CASCATA TEO KIM ENG ROAD,CASCATA,TEO KIM ENG ROAD,7 TEO KIM ENG ROAD CASCATA SINGAPORE 416378,416378,"project,street"
CASSIA EDGE,GUILLEMARD ROAD,14,GEYLANG,1.311574249125497,103.8858281181656,matched,105,CASSIA EDGE GUILLEMARD ROAD,CASSIA EDGE,GUILLEMARD ROAD,343 GUILLEMARD ROAD CASSIA EDGE SINGAPORE 399764,399764,"project,street"
CASSIA VIEW,GUILLEMARD ROAD,14,GEYLANG,1.311032761122312,103.8866301408137,matched,105,CASSIA VIEW GUILLEMARD ROAD,CASSIA VIEW,GUILLEMARD ROAD,320 GUILLEMARD ROAD CASSIA VIEW SINGAPORE 399746,399746,"project,street"
CENTRA HEIGHTS,SIMS AVENUE,14,GEYLANG,1.316293977628898,103.8865741839498,matched,105,CENTRA HEIGHTS SIMS AVENUE,CENTRA HEIGHTS,SIMS AVENUE,455 SIMS AVENUE CENTRA HEIGHTS SINGAPORE 387607,387607,"project,street"
CENTRA LOFT,LORONG 35 GEYLANG,14,GEYLANG,1.314817439506251,103.8883769779863,matched,105,CENTRA LOFT LORONG 35 GEYLANG,CENTRA LOFT,LORONG 35 GEYLANG,3 LORONG 35 GEYLANG CENTRA LOFT SINGAPORE 387935,387935,"project,street"
CENTRA RESIDENCE,LORONG 7 GEYLANG,14,GEYLANG,1.312846209179009,103.8759363213321,matched,105,CENTRA RESIDENCE LORONG 7 GEYLANG,CENTRA RESIDENCE,LORONG 7 GEYLANG,8 LORONG 7 GEYLANG CENTRA RESIDENCE SINGAPORE 388792,388792,"project,street"
CENTRA STUDIOS,LORONG 25 GEYLANG,14,GEYLANG,1.314440001484359,103.8823240031578,matched,105,CENTRA STUDIOS LORONG 25 GEYLANG,CENTRA STUDIOS,LORONG 25 GEYLANG,25 LORONG 25 GEYLANG CENTRA STUDIOS SINGAPORE 388302,388302,"project,street"
CENTRA SUITES,LORONG 25A GEYLANG,14,GEYLANG,1.314651667818574,103.8832881494268,matched,105,CENTRA SUITES LORONG 25A GEYLANG,CENTRA SUITES,LORONG 25A GEYLANG,38 LORONG 25A GEYLANG CENTRA SUITES SINGAPORE 388242,388242,"project,street"
CENTRAL GROVE,GEYLANG EAST AVENUE 1,14,GEYLANG,1.316234949824144,103.8844179813764,matched,105,CENTRAL GROVE GEYLANG EAST AVENUE 1,CENTRAL GROVE,GEYLANG EAST AVENUE 1,3 GEYLANG EAST AVENUE 1 CENTRAL GROVE SINGAPORE 389779,389779,"project,street"
CENTRAL IMPERIAL,LORONG 14 GEYLANG,14,GEYLANG,1.311942667813461,103.8792139709635,matched,105,CENTRAL IMPERIAL LORONG 14 GEYLANG,CENTRAL IMPERIAL,LORONG 14 GEYLANG,3 LORONG 14 GEYLANG CENTRAL IMPERIAL SINGAPORE 398915,398915,"project,street"
CENTRAL MEADOWS,LORONG 34 GEYLANG,14,GEYLANG,1.312258259328576,103.8881617905348,matched,105,CENTRAL MEADOWS LORONG 34 GEYLANG,CENTRAL MEADOWS,LORONG 34 GEYLANG,51 LORONG 34 GEYLANG CENTRAL MEADOWS SINGAPORE 398240,398240,"project,street"
CENTRO MANSIONS,LORONG 32 GEYLANG,14,GEYLANG,1.313096334016558,103.8867547276052,matched,105,CENTRO MANSIONS LORONG 32 GEYLANG,CENTRO MANSIONS,LORONG 32 GEYLANG,20 LORONG 32 GEYLANG CENTRO MANSIONS SINGAPORE 398280,398280,"project,street"
CHEN FANG MANSIONS,LORONG 33 GEYLANG,14,GEYLANG,1.315382217559027,103.8879364814203,matched,105,CHEN FANG MANSIONS LORONG 33 GEYLANG,CHEN FANG MANSIONS,LORONG 33 GEYLANG,26 LORONG 33 GEYLANG CHEN FANG MANSIONS SINGAPORE 387986,387986,"project,street"
CITY PLAZA,GEYLANG ROAD,14,GEYLANG,1.314786897197704,103.8934721151185,matched,105,CITY PLAZA GEYLANG ROAD,CITY PLAZA,GEYLANG ROAD,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,409286,"project,street"
COSMO,GUILLEMARD CRESCENT,14,GEYLANG,1.309576439971947,103.8810396209321,matched,105,COSMO GUILLEMARD CRESCENT,COSMO,GUILLEMARD CRESCENT,18 GUILLEMARD CRESCENT COSMO SINGAPORE 399914,399914,"project,street"
COSY 23,LORONG 30 GEYLANG,14,GEYLANG,1.31257765696441,103.8864923426363,matched,105,COSY 23 LORONG 30 GEYLANG,COSY 23,LORONG 30 GEYLANG,23 LORONG 30 GEYLANG COSY 23 SINGAPORE 398355,398355,"project,street"
COSY LODGE,LORONG 31 GEYLANG,14,GEYLANG,1.315194964650526,103.8865740116098,matched,105,COSY LODGE LORONG 31 GEYLANG,COSY LODGE,LORONG 31 GEYLANG,29 LORONG 31 GEYLANG COSY LODGE SINGAPORE 388029,388029,"project,street"
CRYSTAL DEW,GEYLANG EAST AVENUE 1,14,GEYLANG,1.316014588469002,103.8853058653507,matched,105,CRYSTAL DEW GEYLANG EAST AVENUE 1,CRYSTAL DEW,GEYLANG EAST AVENUE 1,10 GEYLANG EAST AVENUE 1 CRYSTAL DEW SINGAPORE 389781,389781,"project,street"
CRYSTAL LODGE,LORONG 16 GEYLANG,14,GEYLANG,1.311398879945046,103.8796711157148,matched,105,CRYSTAL LODGE LORONG 16 GEYLANG,CRYSTAL LODGE,LORONG 16 GEYLANG,30 LORONG 16 GEYLANG CRYSTAL LODGE SINGAPORE 398870,398870,"project,street"
CRYSTAL MANSIONS,LORONG 6 GEYLANG,14,GEYLANG,1.311152029631773,103.8766747629577,matched,105,CRYSTAL MANSIONS LORONG 6 GEYLANG,CRYSTAL MANSIONS,LORONG 6 GEYLANG,3 LORONG 6 GEYLANG CRYSTAL MANSIONS SINGAPORE 399165,399165,"project,street"
D - HERITAGE APARTMENTS,LENGKONG EMPAT,14,GEYLANG,1.328311871010773,103.9126742376045,matched,105,D - HERITAGE APARTMENTS LENGKONG EMPAT,D - HERITAGE APARTMENTS,LENGKONG EMPAT,43 LENGKONG EMPAT D - HERITAGE APARTMENTS SINGAPORE 417659,417659,"project,street"
D' CASITA,LORONG MARZUKI,14,GEYLANG,1.321896028552655,103.9093527498963,matched,105,D' CASITA LORONG MARZUKI,D' CASITA,LORONG MARZUKI,38 LORONG MARZUKI D' CASITA SINGAPORE 417104,417104,"project,street"
D' PALMA,LORONG MYDIN,14,GEYLANG,1.31995634032594,103.9117429807871,matched,105,D' PALMA LORONG MYDIN,D' PALMA,LORONG MYDIN,18 LORONG MYDIN D' PALMA SINGAPORE 416817,416817,"project,street"
D'GALLERY,JALAN MASJID,14,GEYLANG,1.319998645518617,103.912136345882,matched,105,D'GALLERY,D' GALLERY,JALAN MASJID,15 JALAN MASJID D' GALLERY SINGAPORE 418936,418936,"project,street"
D'OASIA,LORONG MELAYU,14,GEYLANG,1.319669692953085,103.9102611974789,matched,105,D'OASIA LORONG MELAYU,D'OASIA,LORONG MELAYU,11 LORONG MELAYU D'OASIA SINGAPORE 416905,416905,"project,street"
D'WEAVE,LORONG 39 GEYLANG,14,GEYLANG,1.315541079077247,103.890458266408,matched,105,D'WEAVE LORONG 39 GEYLANG,D'WEAVE,LORONG 39 GEYLANG,5 LORONG 39 GEYLANG D'WEAVE SINGAPORE 387866,387866,"project,street"
DAKOTA RESIDENCES,DAKOTA CRESCENT,14,GEYLANG,1.30637270876179,103.8870854900598,matched,105,DAKOTA RESIDENCES DAKOTA CRESCENT,DAKOTA RESIDENCES,DAKOTA CRESCENT,34 DAKOTA CRESCENT DAKOTA RESIDENCES SINGAPORE 399936,399936,"project,street"
DELIGHT COURT,LORONG 33 GEYLANG,14,GEYLANG,1.315141474579819,103.8880428314873,matched,105,DELIGHT COURT LORONG 33 GEYLANG,DELIGHT COURT,LORONG 33 GEYLANG,16 LORONG 33 GEYLANG DELIGHT COURT SINGAPORE 387982,387982,"project,street"
DENG FU VILLE,KAMPONG EUNOS,14,GEYLANG,1.319071030049171,103.9067276500361,matched,105,DENG FU VILLE KAMPONG EUNOS,DENG FU VILLE,KAMPONG EUNOS,30 KAMPONG EUNOS DENG FU VILLE SINGAPORE 417777,417777,"project,street"
E7 LODGE,LORONG MELAYU,14,GEYLANG,1.321675202723714,103.910592815024,matched,105,E7 LODGE LORONG MELAYU,E7 LODGE,LORONG MELAYU,66 LORONG MELAYU E7 LODGE SINGAPORE 416953,416953,"project,street"
EAST 25 APARTMENTS,LORONG 25A GEYLANG,14,GEYLANG,1.314227061218205,103.8832675977892,matched,105,EAST 25 APARTMENTS LORONG 25A GEYLANG,EAST 25 APARTMENTS,LORONG 25A GEYLANG,10 LORONG 25A GEYLANG EAST 25 APARTMENTS SINGAPORE 388224,388224,"project,street"
EAST SHINE,LORONG MELAYU,14,GEYLANG,1.322775146897369,103.9098115532576,matched,105,EAST SHINE LORONG MELAYU,EAST SHINE,LORONG MELAYU,57 LORONG MELAYU EAST SHINE SINGAPORE 417026,417026,"project,street"
EDENZ LOFT,LORONG 24 GEYLANG,14,GEYLANG,1.312317847491516,103.8835323179583,matched,105,EDENZ LOFT LORONG 24 GEYLANG,EDENZ LOFT,LORONG 24 GEYLANG,11 LORONG 24 GEYLANG EDENZ LOFT SINGAPORE 398623,398623,"project,street"
EDENZ SUITES,LORONG 28 GEYLANG,14,GEYLANG,1.312869316128544,103.8857531418846,matched,105,EDENZ SUITES LORONG 28 GEYLANG,EDENZ SUITES,LORONG 28 GEYLANG,21 LORONG 28 GEYLANG EDENZ SUITES SINGAPORE 398425,398425,"project,street"
EN FU MANSIONS,LORONG 33 GEYLANG,14,GEYLANG,1.315151013248601,103.8877755801585,low_confidence,35,LORONG 33 GEYLANG,NIL,LORONG 33 GEYLANG,LORONG 33 GEYLANG,NIL,street
ESCADA VIEW,LENGKONG EMPAT,14,GEYLANG,1.328993446644895,103.91347731741,matched,105,ESCADA VIEW LENGKONG EMPAT,ESCADA VIEW,LENGKONG EMPAT,53 LENGKONG EMPAT ESCADA VIEW SINGAPORE 417657,417657,"project,street"
ESTA RUBY,GUILLEMARD ROAD,14,GEYLANG,1.313900065076761,103.893617178884,matched,105,ESTA RUBY GUILLEMARD ROAD,ESTA RUBY,GUILLEMARD ROAD,500 GUILLEMARD ROAD ESTA RUBY SINGAPORE 399839,399839,"project,street"
EUHABITAT,JALAN EUNOS,14,GEYLANG,1.327954151262641,103.9070014141999,matched,105,EUHABITAT JALAN EUNOS,EUHABITAT,JALAN EUNOS,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,419542,"project,street"
EUNOS PARK,KAMPONG EUNOS,14,GEYLANG,1.318463906530395,103.9060767956999,matched,105,EUNOS PARK KAMPONG EUNOS,EUNOS PARK,KAMPONG EUNOS,5 KAMPONG EUNOS EUNOS PARK SINGAPORE 417771,417771,"project,street"
EVERGREEN VIEW,LORONG 36 GEYLANG,14,GEYLANG,1.313526577645008,103.8885476809163,matched,105,EVERGREEN VIEW LORONG 36 GEYLANG,EVERGREEN VIEW,LORONG 36 GEYLANG,15 LORONG 36 GEYLANG EVERGREEN VIEW SINGAPORE 398150,398150,"project,street"
FAMILIE MANSIONS,LORONG 8 GEYLANG,14,GEYLANG,1.309836692408854,103.8775032151649,matched,105,FAMILIE MANSIONS LORONG 8 GEYLANG,FAMILIE MANSIONS,LORONG 8 GEYLANG,65 LORONG 8 GEYLANG FAMILIE MANSIONS SINGAPORE 399125,399125,"project,street"
FERN LODGE,LORONG 4 GEYLANG,14,GEYLANG,1.311115806922487,103.8760682482605,matched,105,FERN LODGE LORONG 4 GEYLANG,FERN LODGE,LORONG 4 GEYLANG,7 LORONG 4 GEYLANG FERN LODGE SINGAPORE 399266,399266,"project,street"
FUYUEN COURT,LORONG 35 GEYLANG,14,GEYLANG,1.315927106244223,103.888948723639,matched,105,FUYUEN COURT LORONG 35 GEYLANG,FUYUEN COURT,LORONG 35 GEYLANG,22 LORONG 35 GEYLANG FUYUEN COURT SINGAPORE 387951,387951,"project,street"
FUYUEN COURT,SIMS AVENUE,14,GEYLANG,1.316100893729442,103.8889980182545,matched,105,FUYUEN COURT SIMS AVENUE,FUYUEN COURT,SIMS AVENUE,520 SIMS AVENUE FUYUEN COURT SINGAPORE 387580,387580,"project,street"
GEMS VILLE,LORONG 13 GEYLANG,14,GEYLANG,1.312978386705437,103.8777576213509,matched,105,GEMS VILLE LORONG 13 GEYLANG,GEMS VILLE,LORONG 13 GEYLANG,8 LORONG 13 GEYLANG GEMS VILLE SINGAPORE 389901,389901,"project,street"
GEYLANG HERITAGE,LORONG 34 GEYLANG,14,GEYLANG,1.312777987911872,103.8876515943795,matched,105,GEYLANG HERITAGE LORONG 34 GEYLANG,GEYLANG HERITAGE,LORONG 34 GEYLANG,34 LORONG 34 GEYLANG GEYLANG HERITAGE SINGAPORE 398231,398231,"project,street"
GOODVIEW APARTMENTS,LORONG 8 GEYLANG,14,GEYLANG,1.311638858804731,103.8768380734901,matched,105,GOODVIEW APARTMENTS LORONG 8 GEYLANG,GOODVIEW APARTMENTS,LORONG 8 GEYLANG,6 LORONG 8 GEYLANG GOODVIEW APARTMENTS SINGAPORE 399077,399077,"project,street"
GRANDLINK SQUARE,GUILLEMARD ROAD,14,GEYLANG,1.314191298309406,103.8915005110109,matched,105,GRANDLINK SQUARE GUILLEMARD ROAD,GRANDLINK SQUARE,GUILLEMARD ROAD,511 GUILLEMARD ROAD GRANDLINK SQUARE SINGAPORE 399849,399849,"project,street"
GRANDVIEW SUITES,LORONG 22 GEYLANG,14,GEYLANG,1.312776045805119,103.8824556384619,matched,105,GRANDVIEW SUITES LORONG 22 GEYLANG,GRANDVIEW SUITES,LORONG 22 GEYLANG,1 LORONG 22 GEYLANG GRANDVIEW SUITES SINGAPORE 398664,398664,"project,street"
GREEN COURT,GEYLANG ROAD,14,GEYLANG,1.313289737191997,103.8851538355159,matched,105,GREEN COURT GEYLANG ROAD,GREEN COURT,GEYLANG ROAD,498 GEYLANG ROAD GREEN COURT SINGAPORE 389456,389456,"project,street"
GROSVENOR VIEW,LENGKONG EMPAT,14,GEYLANG,1.327687951964194,103.9118448250647,matched,105,GROSVENOR VIEW LENGKONG EMPAT,GROSVENOR VIEW,LENGKONG EMPAT,3 LENGKONG EMPAT GROSVENOR VIEW SINGAPORE 417611,417611,"project,street"
GUILIN COURT,LORONG 26 GEYLANG,14,GEYLANG,1.312258546739767,103.8846624815234,matched,105,GUILIN COURT LORONG 26 GEYLANG,GUILIN COURT,LORONG 26 GEYLANG,10 LORONG 26 GEYLANG GUILIN COURT SINGAPORE 398485,398485,"project,street"
GUILIN MANSIONS,LORONG 37 GEYLANG,14,GEYLANG,1.315787773610059,103.8899595066752,matched,105,GUILIN MANSIONS LORONG 37 GEYLANG,GUILIN MANSIONS,LORONG 37 GEYLANG,8 LORONG 37 GEYLANG GUILIN MANSIONS SINGAPORE 387906,387906,"project,street"
GUILLEMARD EDGE,LORONG 30 GEYLANG,14,GEYLANG,1.312004437444721,103.8859493771543,matched,105,GUILLEMARD EDGE LORONG 30 GEYLANG,GUILLEMARD EDGE,LORONG 30 GEYLANG,38 LORONG 30 GEYLANG GUILLEMARD EDGE SINGAPORE 398371,398371,"project,street"
GUILLEMARD SUITES,GUILLEMARD ROAD,14,GEYLANG,1.310945218527262,103.8827210977205,matched,105,GUILLEMARD SUITES GUILLEMARD ROAD,GUILLEMARD SUITES,GUILLEMARD ROAD,213 GUILLEMARD ROAD GUILLEMARD SUITES SINGAPORE 399733,399733,"project,street"
GUILLEMARD VIEW,GUILLEMARD ROAD,14,GEYLANG,1.31131608082756,103.8846158848412,matched,105,GUILLEMARD VIEW GUILLEMARD ROAD,GUILLEMARD VIEW,GUILLEMARD ROAD,329A GUILLEMARD ROAD GUILLEMARD VIEW SINGAPORE 399850,399850,"project,street"
IDYLLIC SUITES,LORONG 30 GEYLANG,14,GEYLANG,1.312850809108973,103.8864976257635,matched,105,IDYLLIC SUITES LORONG 30 GEYLANG,IDYLLIC SUITES,LORONG 30 GEYLANG,21 LORONG 30 GEYLANG IDYLLIC SUITES SINGAPORE 398353,398353,"project,street"
KEMBANGAN COURT,JALAN MASJID,14,GEYLANG,1.319622124355996,103.9122887146956,matched,105,KEMBANGAN COURT JALAN MASJID,KEMBANGAN COURT,JALAN MASJID,5 JALAN MASJID KEMBANGAN COURT SINGAPORE 418924,418924,"project,street"
KEMBANGAN PLAZA,JALAN MASJID,14,GEYLANG,1.320372556098666,103.9126428496282,matched,105,KEMBANGAN PLAZA JALAN MASJID,KEMBANGAN PLAZA,JALAN MASJID,18 JALAN MASJID KEMBANGAN PLAZA SINGAPORE 418944,418944,"project,street"
KEMBANGAN SUITES,JALAN MASJID,14,GEYLANG,1.32015257058639,103.9127270839605,matched,105,KEMBANGAN SUITES JALAN MASJID,KEMBANGAN SUITES,JALAN MASJID,16 JALAN MASJID KEMBANGAN SUITES SINGAPORE 418941,418941,"project,street"
KINGSTON TERRACE,JALAN MASJID,14,GEYLANG,1.319647351259125,103.9129212082007,matched,105,KINGSTON TERRACE JALAN MASJID,KINGSTON TERRACE,JALAN MASJID,8B JALAN MASJID KINGSTON TERRACE SINGAPORE 418929,418929,"project,street"
LA BRISA,LORONG 28 GEYLANG,14,GEYLANG,1.311904191436285,103.8853693651544,matched,105,LA BRISA LORONG 28 GEYLANG,LA BRISA,LORONG 28 GEYLANG,50 LORONG 28 GEYLANG LA BRISA SINGAPORE 398453,398453,"project,street"
LA FLEUR,LORONG 26 GEYLANG,14,GEYLANG,1.312444542323244,103.8845765166527,matched,105,LA FLEUR LORONG 26 GEYLANG,LA FLEUR,LORONG 26 GEYLANG,8 LORONG 26 GEYLANG LA FLEUR SINGAPORE 398483,398483,"project,street"
LE ARC,LORONG 26 GEYLANG,14,GEYLANG,1.312597778370196,103.8845838905039,matched,105,LE ARC LORONG 26 GEYLANG,LE ARC,LORONG 26 GEYLANG,6 LORONG 26 GEYLANG LE ARC SINGAPORE 398481,398481,"project,street"
LE CRESCENDO,PAYA LEBAR ROAD,14,GEYLANG,1.330497146740045,103.8884092687808,matched,105,LE CRESCENDO PAYA LEBAR ROAD,LE CRESCENDO,PAYA LEBAR ROAD,233 PAYA LEBAR ROAD LE CRESCENDO SINGAPORE 409044,409044,"project,street"
LE MARICAN,LORONG MARICAN,14,GEYLANG,1.326047506127899,103.9074189483745,matched,105,LE MARICAN LORONG MARICAN,LE MARICAN,LORONG MARICAN,95 LORONG MARICAN LE MARICAN SINGAPORE 417301,417301,"project,street"
LE REGAL,GEYLANG ROAD,14,GEYLANG,1.312502687279985,103.8803681172274,matched,105,LE REGAL GEYLANG ROAD,LE REGAL,GEYLANG ROAD,340 GEYLANG ROAD LE REGAL SINGAPORE 389365,389365,"project,street"
LE REVE,KAMPONG EUNOS,14,GEYLANG,1.318936809723819,103.9062789394251,matched,105,LE REVE KAMPONG EUNOS,LE REVE,KAMPONG EUNOS,33 KAMPONG EUNOS LE REVE SINGAPORE 417786,417786,"project,street"
LEVENUE,LENGKONG EMPAT,14,GEYLANG,1.328642698244315,103.913744097652,matched,105,LEVENUE LENGKONG EMPAT,LEVENUE,LENGKONG EMPAT,55 LENGKONG EMPAT LEVENUE SINGAPORE 417642,417642,"project,street"
LOFT 33,LORONG 32 GEYLANG,14,GEYLANG,1.31278422240835,103.8872008889524,matched,105,LOFT 33 LORONG 32 GEYLANG,LOFT 33,LORONG 32 GEYLANG,33 LORONG 32 GEYLANG LOFT 33 SINGAPORE 398293,398293,"project,street"
M SUITES,LORONG MELAYU,14,GEYLANG,1.323307519112127,103.9096205218838,matched,105,M SUITES LORONG MELAYU,M SUITES,LORONG MELAYU,65 LORONG MELAYU M SUITES SINGAPORE 416952,416952,"project,street"
MATTAR RESIDENCES,MATTAR ROAD,14,GEYLANG,1.32562146026035,103.8818116119539,matched,105,MATTAR RESIDENCES MATTAR ROAD,MATTAR RESIDENCES,MATTAR ROAD,7 MATTAR ROAD MATTAR RESIDENCES SINGAPORE 387716,387716,"project,street"
MELOSA,LORONG 28 GEYLANG,14,GEYLANG,1.312537332357086,103.885402784916,matched,105,MELOSA LORONG 28 GEYLANG,MELOSA,LORONG 28 GEYLANG,28 LORONG 28 GEYLANG MELOSA SINGAPORE 398432,398432,"project,street"
MERA EAST,CHANGI ROAD,14,GEYLANG,1.318175267708491,103.9092920823459,matched,105,MERA EAST CHANGI ROAD,MERA EAST,CHANGI ROAD,338 CHANGI ROAD MERA EAST SINGAPORE 419977,419977,"project,street"
METRO LOFT,LORONG 27 GEYLANG,14,GEYLANG,1.31417031455964,103.8835621759263,matched,105,METRO LOFT LORONG 27 GEYLANG,METRO LOFT,LORONG 27 GEYLANG,5 LORONG 27 GEYLANG METRO LOFT SINGAPORE 388158,388158,"project,street"
MILL CREEK,LORONG MARZUKI,14,GEYLANG,1.319553272165713,103.9099376299622,matched,105,MILL CREEK LORONG MARZUKI,MILL CREEK,LORONG MARZUKI,10 LORONG MARZUKI MILL CREEK SINGAPORE 417052,417052,"project,street"
MILLAGE,CHANGI ROAD,14,GEYLANG,1.317486923417979,103.9041242940286,low_confidence,35,CHANGI ROAD,CHANGI ROAD 8KM,NIL,CHANGI ROAD 8KM,NIL,street
MORI,GUILLEMARD ROAD,14,GEYLANG,1.31131219787605,103.882972095616,matched,105,MORI GUILLEMARD ROAD,MORI,GUILLEMARD ROAD,223 GUILLEMARD ROAD MORI SINGAPORE 399738,399738,"project,street"
MORO MANSIONS,LORONG 37 GEYLANG,14,GEYLANG,1.315288105260819,103.8894301016533,matched,105,MORO MANSIONS LORONG 37 GEYLANG,MORO MANSIONS,LORONG 37 GEYLANG,3 LORONG 37 GEYLANG MORO MANSIONS SINGAPORE 387901,387901,"project,street"
NESS,LORONG 32 GEYLANG,14,GEYLANG,1.312697947140462,103.8867768441287,matched,105,NESS LORONG 32 GEYLANG,NESS,LORONG 32 GEYLANG,38 LORONG 32 GEYLANG NESS SINGAPORE 398298,398298,"project,street"
NICOLE GREEN,GUILLEMARD ROAD,14,GEYLANG,1.309304585208699,103.879851001095,matched,105,NICOLE GREEN GUILLEMARD ROAD,NICOLE GREEN,GUILLEMARD ROAD,68 GUILLEMARD ROAD NICOLE GREEN SINGAPORE 399710,399710,"project,street"
NOMA,GUILLEMARD ROAD,14,GEYLANG,1.311616561901194,103.8853735421513,matched,105,NOMA GUILLEMARD ROAD,NOMA,GUILLEMARD ROAD,333 GUILLEMARD ROAD NOMA SINGAPORE 399758,399758,"project,street"
PADDY GREEN,LORONG 12 GEYLANG,14,GEYLANG,1.312078607237811,103.8783993133015,matched,105,PADDY GREEN LORONG 12 GEYLANG,PADDY GREEN,LORONG 12 GEYLANG,1 LORONG 12 GEYLANG PADDY GREEN SINGAPORE 398982,398982,"project,street"
PALM LODGE,LORONG 37 GEYLANG,14,GEYLANG,1.315205702346316,103.8899253138953,matched,105,PALM LODGE LORONG 37 GEYLANG,PALM LODGE,LORONG 37 GEYLANG,4 LORONG 37 GEYLANG PALM LODGE SINGAPORE 387902,387902,"project,street"
