project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
SKYSUITES@ANSON,ENGGOR STREET,02,CENTRAL AREA,1.274643978047123,103.8447415873149,matched,105,SKYSUITES@ANSON ENGGOR STREET,SKYSUITES@ANSON,ENGGOR STREET,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,079718,"project,street"
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,CENTRAL AREA,1.275595285272561,103.837559859708,matched,105,SPOTTISWOODE 18 SPOTTISWOODE PARK ROAD,SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,18 SPOTTISWOODE PARK ROAD SPOTTISWOODE 18 SINGAPORE 088642,088642,"project,street"
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,CENTRAL AREA,1.273420740691681,103.8379389523004,matched,105,SPOTTISWOODE PARK SPOTTISWOODE PARK ROAD,NIL,SPOTTISWOODE PARK ROAD,SPOTTISWOODE PARK ROAD,NIL,"project,street"
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,CENTRAL AREA,1.275271152231314,103.8368322250497,matched,105,SPOTTISWOODE RESIDENCES SPOTTISWOODE PARK ROAD,SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,088660,"project,street"
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,CENTRAL AREA,1.276035116061894,103.8375020463613,matched,105,SPOTTISWOODE SUITES SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,16 SPOTTISWOODE PARK ROAD SPOTTISWOODE SUITES SINGAPORE 088661,088661,"project,street"
THE ARRIS,YAN KIT ROAD,02,CENTRAL AREA,1.275501068821503,103.8415960229412,matched,105,THE ARRIS YAN KIT ROAD,THE ARRIS,YAN KIT ROAD,28 YAN KIT ROAD THE ARRIS SINGAPORE 088271,088271,"project,street"
THE BEACON,CANTONMENT ROAD,02,CENTRAL AREA,1.275874835214168,103.8404809943486,matched,105,THE BEACON CANTONMENT ROAD,THE BEACON,CANTONMENT ROAD,130 CANTONMENT ROAD THE BEACON SINGAPORE 089775,089775,"project,street"
TMW MAXWELL,TRAS STREET,02,CENTRAL AREA,1.279042477699102,103.8446552581064,matched,105,TMW MAXWELL TRAS STREET,TMW MAXWELL,TRAS STREET,31 TRAS STREET TMW MAXWELL SINGAPORE 079934,079934,"project,street"
WALLICH RESIDENCE,WALLICH STREET,02,CENTRAL AREA,1.277117360003171,103.8457901522148,matched,105,WALLICH RESIDENCE WALLICH STREET,WALLICH RESIDENCE,WALLICH STREET,3 WALLICH STREET WALLICH RESIDENCE SINGAPORE 078882,078882,"project,street"
ALESSANDREA,ALEXANDRA ROAD,03,QUEENSTOWN,1.29050566271654,103.8225873414022,matched,105,ALESSANDREA ALEXANDRA ROAD,ALESSANDREA,ALEXANDRA ROAD,31 ALEXANDRA ROAD ALESSANDREA SINGAPORE 159967,159967,"project,street"
ALEX RESIDENCES,ALEXANDRA VIEW,03,QUEENSTOWN,1.290569996815877,103.8190007817279,matched,105,ALEX RESIDENCES ALEXANDRA VIEW,ALEX RESIDENCES,ALEXANDRA VIEW,28 ALEXANDRA VIEW ALEX RESIDENCES SINGAPORE 158744,158744,"project,street"
ALEXIS,ALEXANDRA ROAD,03,QUEENSTOWN,1.291303792434754,103.8073509780536,matched,105,ALEXIS ALEXANDRA ROAD,ALEXIS,ALEXANDRA ROAD,354 ALEXANDRA ROAD ALEXIS SINGAPORE 159948,159948,"project,street"
ARTRA,ALEXANDRA VIEW,03,QUEENSTOWN,1.290030670539985,103.8171852739029,matched,105,ARTRA ALEXANDRA VIEW,ARTRA,ALEXANDRA VIEW,10 ALEXANDRA VIEW ARTRA SINGAPORE 158745,158745,"project,street"
ASCENTIA SKY,ALEXANDRA VIEW,03,QUEENSTOWN,1.290951037166458,103.8170002656173,matched,105,ASCENTIA SKY ALEXANDRA VIEW,ASCENTIA SKY,ALEXANDRA VIEW,3 ALEXANDRA VIEW ASCENTIA SKY SINGAPORE 158749,158749,"project,street"
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,QUEENSTOWN,1.276629534107344,103.8291052120283,matched,105,AVENUE SOUTH RESIDENCE SILAT AVENUE,AVENUE SOUTH RESIDENCE,SILAT AVENUE,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,168877,"project,street"
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,QUEENSTOWN,1.285195761563669,103.827677219577,matched,105,CENTRAL GREEN CONDOMINIUM JALAN MEMBINA,CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,1 JALAN MEMBINA CENTRAL GREEN CONDOMINIUM SINGAPORE 169479,169479,"project,street"
CLYDESVIEW,JERVOIS LANE,03,QUEENSTOWN,1.294092228227197,103.8181075858825,matched,105,CLYDESVIEW JERVOIS LANE,CLYDESVIEW,JERVOIS LANE,16A JERVOIS LANE CLYDESVIEW SINGAPORE 159192,159192,"project,street"
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,QUEENSTOWN,1.295734334744147,103.8060301989734,matched,105,COMMONWEALTH TOWERS COMMONWEALTH AVENUE,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,149739,"project,street"
DOMAIN 21,DELTA ROAD,03,QUEENSTOWN,1.291818656259126,103.8251607413898,matched,105,DOMAIN 21 DELTA ROAD,DOMAIN 21,DELTA ROAD,21 DELTA ROAD DOMAIN 21 SINGAPORE 169813,169813,"project,street"
ECHELON,ALEXANDRA VIEW,03,QUEENSTOWN,1.290606945455764,103.8178669201343,matched,105,ECHELON ALEXANDRA VIEW,ECHELON,ALEXANDRA VIEW,9 ALEXANDRA VIEW ECHELON SINGAPORE 158742,158742,"project,street"
EMERALD PARK,INDUS ROAD,03,QUEENSTOWN,1.289752904054112,103.8303497138199,matched,105,EMERALD PARK INDUS ROAD,EMERALD PARK,INDUS ROAD,4 INDUS ROAD EMERALD PARK SINGAPORE 169587,169587,"project,street"
ENG HOON MANSIONS,ENG HOON STREET,03,QUEENSTOWN,1.283505894837439,103.8344927525353,matched,105,ENG HOON MANSIONS ENG HOON STREET,ENG HOON MANSIONS,ENG HOON STREET,17 ENG HOON STREET ENG HOON MANSIONS SINGAPORE 169767,169767,"project,street"
