project_name,project_name_norm,postal_district,total_txns,unattributed_txns,in_edgeprop,reason
WING FONG BUILDING,WING FONG BUILDING,14,2,2,True,partial_match
YIKAI COURT,YIKAI COURT,19,2,2,True,partial_match
YONG SIAK COURT,YONG SIAK COURT,03,2,2,True,partial_match
111 EMERALD HILL,111 EMERALD HILL,09,21,1,True,partial_match
18 WOODSVILLE,18 WOODSVILLE,13,24,1,True,partial_match
3 ORCHARD BY-THE-PARK,3 ORCHARD BY THE PARK,10,40,1,True,partial_match
3@SANDILANDS,3 AT SANDILANDS,19,13,1,True,partial_match
ADVANCE APARTMENTS,ADVANCE APARTMENTS,14,1,1,True,partial_match
AMBER RESIDENCES,AMBER RESIDENCES,15,39,1,True,partial_match
ARINA EAST RESIDENCES,ARINA EAST RESIDENCES,15,97,1,True,partial_match
ARIVA ON SHAN SERVICED RESIDENCE,ARIVA ON SHAN SERVICED RESIDENCE,12,1,1,True,partial_match
AVANT RESIDENCES,AVANT RESIDENCES,14,11,1,True,partial_match
BAGNALL COURT,BAGNALL COURT,16,1,1,True,partial_match
BAGNALL HAUS,BAGNALL HAUS,16,106,1,True,partial_match
BALMORAL POINT,BALMORAL POINT,10,2,1,True,partial_match
BAODE BUILDING,BAODE BUILDING,14,1,1,True,partial_match
BAYSHORE PARK,BAYSHORE PARK,16,143,1,True,partial_match
BEDOK SHOPPING COMPLEX,BEDOK SHOPPING COMPLEX,16,1,1,True,partial_match
BETA GROVE,BETA GROVE,15,1,1,True,partial_match
BOAT QUAY CONSERVATION AREA,BOAT QUAY CONSERVATION AREA,01,1,1,True,partial_match
BOATHOUSE RESIDENCES,BOATHOUSE RESIDENCES,19,142,1,True,partial_match
BOON TECK APARTMENTS,BOON TECK APARTMENTS,12,3,1,True,partial_match
CAIRNHILL ASTORIA,CAIRNHILL ASTORIA,09,6,1,True,partial_match
CAIRNHILL PLAZA,CAIRNHILL PLAZA,09,31,1,True,partial_match
CANDEVILLE,CANDEVILLE,15,2,1,True,partial_match
CANTIZ @ RAMBAI,CANTIZ AT RAMBAI,15,6,1,True,partial_match
CAPE ROYALE,CAPE ROYALE,04,118,1,True,partial_match
CARLYX GREEN,CARLYX GREEN,08,3,1,True,partial_match
CARPMAEL THIRTY-EIGHT,CARPMAEL THIRTY EIGHT,15,9,1,True,partial_match
CASA FELIZ,CASA FELIZ,15,1,1,True,partial_match
CASA SOPHIA,CASA SOPHIA,09,1,1,True,partial_match
CASTLE LOFT,CASTLE LOFT,15,6,1,True,partial_match
CEYLON RESIDENCE,CEYLON RESIDENCE,15,3,1,True,partial_match
CHIKU MANSIONS,CHIKU MANSIONS,15,1,1,True,partial_match
CHOON KIM HOUSE,CHOON KIM HOUSE,19,12,1,True,partial_match
CITY GATE,CITY GATE,07,99,1,True,partial_match
CORONATION ARCADE,CORONATION ARCADE,10,2,1,True,partial_match
CRESCENT BUILDING,CRESCENT BUILDING,12,1,1,True,partial_match
CYAN,CYAN,10,60,1,True,partial_match
D' FRESCO,D FRESCO,15,8,1,True,partial_match
D'CHATEAU @ SHELFORD,DCHATEAU AT SHELFORD,11,11,1,True,partial_match
D'EVELYN,DEVELYN,11,8,1,True,partial_match
D'LOTUS,DLOTUS,12,32,1,True,partial_match
D'NEST,DNEST,18,282,1,True,partial_match
D'PAVILION,DPAVILION,19,11,1,True,partial_match
D-MANSIONS,D MANSIONS,15,3,1,True,partial_match
DE CENTURION,DE CENTURION,15,14,1,True,partial_match
DUBLIN ROAD FLATS,DUBLIN ROAD FLATS,09,1,1,True,partial_match
DUNEARN LODGE,DUNEARN LODGE,11,2,1,True,partial_match
EAST 25 APARTMENTS,EAST 25 APARTMENTS,14,1,1,True,partial_match
EAST GALLERIA,EAST GALLERIA,15,7,1,True,partial_match
EASTPAC BUILDING,EASTPAC BUILDING,12,2,1,True,partial_match
EBER GARDENS,EBER GARDENS,09,1,1,True,partial_match
ECHELON,ECHELON,03,147,1,True,partial_match
EMERALD APARTMENTS,EMERALD APARTMENTS,09,1,1,True,partial_match
EMERALD GARDEN,EMERALD GARDEN,01,32,1,True,partial_match
EMPRADO SUITES,EMPRADO SUITES,15,8,1,True,partial_match
EON SHENTON,EON SHENTON,02,32,1,True,partial_match
ESPA,ESPA,23,14,1,True,partial_match
ESTELLA GARDENS,ESTELLA GARDENS,17,60,1,True,partial_match
ETON COURT,ETON COURT,15,2,1,True,partial_match
EUPHONY GARDENS,EUPHONY GARDENS,27,100,1,True,partial_match
FAIRHAVEN,FAIRHAVEN,09,1,1,True,partial_match
FAIRLODGE,FAIRLODGE,10,3,1,True,partial_match
FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE CONDOMINIUM,10,10,1,True,partial_match
FLAMINGO VALLEY,FLAMINGO VALLEY,15,142,1,True,partial_match
FLORIDIAN,FLORIDIAN,21,77,1,True,partial_match
FORTE SUITES,FORTE SUITES,08,23,1,True,partial_match
FORTUNE SPRING,FORTUNE SPRING,15,1,1,False,no_edgeprop_project
FRANKEL ESTATE,FRANKEL ESTATE,15,1,1,False,no_edgeprop_project
GALLOP GREEN,GALLOP GREEN,10,14,1,True,partial_match
GEM RESIDENCES,GEM RESIDENCES,12,196,1,True,partial_match
GLENTREES,GLENTREES,10,52,1,True,partial_match
GLORIA MANSION,GLORIA MANSION,05,1,1,True,partial_match
GOODLINK PARK,GOODLINK PARK,27,1,1,True,partial_match
GRACE COURT,GRACE COURT,15,1,1,True,partial_match
GRAMERCY PARK,GRAMERCY PARK,10,15,1,True,partial_match
GREENDALE COURT,GREENDALE COURT,11,1,1,True,partial_match
HAIG APARTMENTS,HAIG APARTMENTS,15,9,1,True,partial_match
HAIG LODGE,HAIG LODGE,15,2,1,True,partial_match
HILLION RESIDENCES,HILLION RESIDENCES,23,173,1,True,partial_match
HILLVIEW HEIGHTS,HILLVIEW HEIGHTS,23,55,1,True,partial_match
HOLLAND HILL PARK,HOLLAND HILL PARK,10,9,1,True,partial_match
HONG BUILDING,HONG BUILDING,08,1,1,True,partial_match
IVORY APARTMENTS,IVORY APARTMENTS,15,1,1,True,partial_match
JADE GARDEN,JADE GARDEN,10,6,1,True,partial_match
JADE RESIDENCES,JADE RESIDENCES,19,52,1,True,partial_match
JANSEN MANSIONS,JANSEN MANSIONS,19,1,1,True,partial_match
JANSEN SPRING,JANSEN SPRING,19,1,1,True,partial_match
JC COURT,JC COURT,15,3,1,True,partial_match
JOO CHIAT APARTMENT,JOO CHIAT APARTMENT,15,1,1,True,partial_match
KAI FOOK MANSION,KAI FOOK MANSION,03,1,1,True,partial_match
KARTAR APARTMENTS,KARTAR APARTMENTS,11,1,1,True,partial_match
KINDOL GARDENS,KINDOL GARDENS,27,1,1,True,partial_match
KLASSIC COURT,KLASSIC COURT,15,1,1,True,partial_match
LA VILLE,LA VILLE,15,2,1,True,partial_match
LATITUDE,LATITUDE,10,23,1,True,partial_match
LE CONNEY PARK,LE CONNEY PARK,15,20,1,True,partial_match
LESHAN GARDENS,LESHAN GARDENS,14,1,1,True,partial_match
LIANG COURT,LIANG COURT,06,1,1,True,partial_match
LUCKY COURT,LUCKY COURT,16,1,1,True,partial_match
MACKENZIE REGENCY,MACKENZIE REGENCY,09,9,1,True,partial_match
MANDALE HEIGHTS,MANDALE HEIGHTS,11,23,1,True,partial_match
MANDARIN PARK,MANDARIN PARK,21,1,1,True,partial_match
MARINA COLLECTION,MARINA COLLECTION,04,39,1,True,partial_match
MI CASA,MI CASA,23,66,1,True,partial_match
MODA,MODA,15,27,1,True,partial_match
MONDO MANSION BUILDING,MONDO MANSION BUILDING,19,1,1,True,partial_match
MONT BOTANIK RESIDENCE,MONT BOTANIK RESIDENCE,23,92,1,True,partial_match
NANYANG PARK,NANYANG PARK,19,1,1,True,partial_match
NEWPORT RESIDENCES,NEWPORT RESIDENCES,02,203,1,True,partial_match
NORTHWOOD,NORTHWOOD,27,46,1,True,partial_match
OCHO,OCHO,14,1,1,False,no_edgeprop_project
OLA RESIDENCES,OLA RESIDENCES,15,18,1,True,partial_match
ONAN COURT,ONAN COURT,15,2,1,True,partial_match
ONE @ PULASAN,ONE AT PULASAN,15,10,1,True,partial_match
ONE DUCHESS,ONE DUCHESS,10,8,1,True,partial_match
ONE FORT,ONE FORT,15,20,1,True,partial_match
ONE JERVOIS,ONE JERVOIS,10,62,1,True,partial_match
ONE K GREENLANE,ONE K GREENLANE,15,5,1,True,partial_match
ONE OXLEY RISE,ONE OXLEY RISE,09,23,1,True,partial_match
OPERA ESTATE,OPERA ESTATE,15,1,1,True,partial_match
OXLEY GARDEN,OXLEY GARDEN,09,1,1,True,partial_match
PARC ESTA,PARC ESTA,14,501,1,True,partial_match
PARC KOMO,PARC KOMO,17,297,1,True,partial_match
PARK COLONIAL,PARK COLONIAL,13,231,1,True,partial_match
PARK VIEW MANSION,PARK VIEW MANSION,22,3,1,True,partial_match
PARVIS,PARVIS,10,54,1,True,partial_match
PETAIN RD/TYRWHITT RD CONSERVATION AREA,PETAIN RD TYRWHITT RD CONSERVATION AREA,08,1,1,True,partial_match
PETIT JERVOIS,PETIT JERVOIS,10,53,1,True,partial_match
PHOENIX HEIGHTS,PHOENIX HEIGHTS,23,1,1,True,partial_match
PINETREE CONDOMINIUM,PINETREE CONDOMINIUM,10,8,1,True,partial_match
PLATINA GARDENS,PLATINA GARDENS,27,1,1,True,partial_match
QUEEN ASTRID GARDENS,QUEEN ASTRID GARDENS,10,1,1,True,partial_match
RESIDENCE 118,RESIDENCE 118,15,2,1,True,partial_match
RESIDENCES @ KILLINEY,RESIDENCES AT KILLINEY,09,19,1,True,partial_match
RESIDENCES AT EMERALD HILL,RESIDENCES AT EMERALD HILL,09,2,1,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,18,1,1,False,placeholder
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,28,1,1,False,placeholder
REZI 35,REZI 35,14,14,1,True,partial_match
RIVERVALE CREST,RIVERVALE CREST,19,98,1,True,partial_match
SARHAD VILLE,SARHAD VILLE,05,1,1,True,partial_match
SEA AVENUE MANSIONS,SEA AVENUE MANSIONS,15,4,1,True,partial_match
SECOND AVENUE JUNCTION,SECOND AVENUE JUNCTION,10,2,1,True,partial_match
SELEGIE CENTRE,SELEGIE CENTRE,07,1,1,True,partial_match
