project_name,street_name,postal_district,planning_area,lat,lon,match_status,primary_1km_count,primary_1km_ranked_count,top_primary_1km_count,primary_1km_schools,best_primary_1km_school,best_primary_1km_rank,best_primary_1km_distance_m,best_primary_1km_metric,best_primary_1km_source_year,secondary_2km_count,secondary_2km_ranked_count,top_secondary_2km_count,best_secondary_2km_school,best_secondary_2km_rank,best_secondary_2km_distance_m,best_secondary_2km_metric,best_secondary_2km_source_year,jc_5km_count,jc_5km_ranked_count,top_jc_5km_count,best_jc_5km_school,best_jc_5km_rank,best_jc_5km_distance_m,best_jc_5km_metric,best_jc_5km_source_year,has_primary_1km,has_ranked_primary_1km
ALEX RESIDENCES,ALEXANDRA VIEW,3,QUEENSTOWN,1.290569996815877,103.8190007817279,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; GAN ENG SENG PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4167,Arts 5; Science 4,2025.0,True,False
ALEXIS,ALEXANDRA ROAD,3,QUEENSTOWN,1.291303792434754,103.8073509780536,matched,1,0,0,QUEENSTOWN PRIMARY SCHOOL,,,,,,5,0,0,,,,,,8,5,5,HWA CHONG INSTITUTION,2,3819,Arts 5; Science 4,2025.0,True,False
ARTRA,ALEXANDRA VIEW,3,QUEENSTOWN,1.290030670539985,103.8171852739029,matched,2,0,0,GAN ENG SENG PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4157,Arts 5; Science 4,2025.0,True,False
ASCENTIA SKY,ALEXANDRA VIEW,3,QUEENSTOWN,1.290951037166458,103.8170002656173,matched,2,0,0,GAN ENG SENG PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,6,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4053,Arts 5; Science 4,2025.0,True,False
AVENUE SOUTH RESIDENCE,SILAT AVENUE,3,QUEENSTOWN,1.276629534107344,103.8291052120283,matched,3,0,0,CHIJ (KELLOCK); RADIN MAS PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL,,,,,,2,0,0,,,,,,1,0,0,,,,,,True,False
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,3,QUEENSTOWN,1.285195761563669,103.827677219577,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,5,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4277,IB 6,2025.0,True,False
CLYDESVIEW,JERVOIS LANE,3,QUEENSTOWN,1.294092228227197,103.8181075858825,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; GAN ENG SENG PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,3766,Arts 5; Science 4,2025.0,True,False
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,3,QUEENSTOWN,1.295734334744147,103.8060301989734,matched,2,0,0,QUEENSTOWN PRIMARY SCHOOL; NEW TOWN PRIMARY SCHOOL,,,,,,4,0,0,,,,,,8,5,5,HWA CHONG INSTITUTION,2,3323,Arts 5; Science 4,2025.0,True,False
DOMAIN 21,DELTA ROAD,3,QUEENSTOWN,1.291818656259126,103.8251607413898,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL,,,,,,5,0,0,,,,,,6,4,4,HWA CHONG INSTITUTION,2,4334,Arts 5; Science 4,2025.0,True,False
ECHELON,ALEXANDRA VIEW,3,QUEENSTOWN,1.290606945455764,103.8178669201343,matched,2,0,0,GAN ENG SENG PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4120,Arts 5; Science 4,2025.0,True,False
EMERALD PARK,INDUS ROAD,3,QUEENSTOWN,1.289752904054112,103.8303497138199,matched,3,0,0,ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL; RIVER VALLEY PRIMARY SCHOOL,,,,,,5,0,0,,,,,,4,2,2,HWA CHONG INSTITUTION,2,4836,Arts 5; Science 4,2025.0,True,False
ENG HOON MANSIONS,ENG HOON STREET,3,QUEENSTOWN,1.283505894837439,103.8344927525353,matched,1,0,0,ZHANGDE PRIMARY SCHOOL,,,,,,2,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4514,IB 6,2025.0,True,False
HARVEST MANSIONS,HAVELOCK ROAD,3,QUEENSTOWN,1.289830341981021,103.8318434169088,matched,3,0,0,RIVER VALLEY PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL,,,,,,3,0,0,,,,,,4,2,2,HWA CHONG INSTITUTION,2,4925,Arts 5; Science 4,2025.0,True,False
HIGHLINE RESIDENCES,KIM TIAN ROAD,3,QUEENSTOWN,1.2841657773154,103.8298167109575,matched,1,0,0,ZHANGDE PRIMARY SCHOOL,,,,,,4,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4393,IB 6,2025.0,True,False
KAI FOOK MANSION,KIM TIAN ROAD,3,QUEENSTOWN,1.284751150834718,103.8293298566824,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4327,IB 6,2025.0,True,False
MARGARET VILLE,MARGARET DRIVE,3,QUEENSTOWN,1.299517208084196,103.8028069302233,matched,2,0,0,NEW TOWN PRIMARY SCHOOL; QUEENSTOWN PRIMARY SCHOOL,,,,,,4,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,2920,Arts 5; Science 4,2025.0,True,False
MERAPRIME,JALAN BUKIT HO SWEE,3,QUEENSTOWN,1.287058597675512,103.8277875319796,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,5,0,0,,,,,,4,2,2,HWA CHONG INSTITUTION,2,4939,Arts 5; Science 4,2025.0,True,False
ONE PEARL BANK,PEARL BANK,3,QUEENSTOWN,1.282961486595894,103.839814598308,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,1,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4696,IB 6,2025.0,True,False
PENRITH,MARGARET DRIVE,3,QUEENSTOWN,1.295758493167474,103.8086952164829,matched,1,0,0,QUEENSTOWN PRIMARY SCHOOL,,,,,,5,0,0,,,,,,8,5,5,HWA CHONG INSTITUTION,2,3336,Arts 5; Science 4,2025.0,True,False
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,3,QUEENSTOWN,1.292375067481787,103.822836693912,matched,2,0,0,ALEXANDRA PRIMARY SCHOOL; ZHANGDE PRIMARY SCHOOL,,,,,,5,0,0,,,,,,7,5,5,HWA CHONG INSTITUTION,2,4157,Arts 5; Science 4,2025.0,True,False
PROMENADE PEAK,ZION PROMENADE,3,QUEENSTOWN,1.291570080487509,103.8331424808251,matched,1,0,0,RIVER VALLEY PRIMARY SCHOOL,,,,,,3,0,0,,,,,,4,2,2,HWA CHONG INSTITUTION,2,4860,Arts 5; Science 4,2025.0,True,False
QUEENS,STIRLING ROAD,3,QUEENSTOWN,1.292996046816058,103.8056655631731,matched,2,0,0,QUEENSTOWN PRIMARY SCHOOL; NEW TOWN PRIMARY SCHOOL,,,,,,4,0,0,,,,,,8,5,5,HWA CHONG INSTITUTION,2,3627,Arts 5; Science 4,2025.0,True,False
QUEENS PEAK,DUNDEE ROAD,3,QUEENSTOWN,1.294336667463013,103.8070201273504,matched,2,0,0,QUEENSTOWN PRIMARY SCHOOL; NEW TOWN PRIMARY SCHOOL,,,,,,5,0,0,,,,,,8,5,5,HWA CHONG INSTITUTION,2,3481,Arts 5; Science 4,2025.0,True,False
REGENCY SUITES,KIM TIAN ROAD,3,QUEENSTOWN,1.284341046172816,103.8291384504202,matched,2,0,0,ZHANGDE PRIMARY SCHOOL; ALEXANDRA PRIMARY SCHOOL,,,,,,4,0,0,,,,,,3,1,1,ST. JOSEPH'S INSTITUTION,5,4372,IB 6,2025.0,True,False
