estate,model_version,path,start_score,start_band,end_score,end_band,delta,arrow,band_shift
LENTOR,2.1.0,ageing_in_place,2.431,F,3.501,B,1.07,↑,F→B
LENTOR,2.1.0,downsizing,2.373,F,3.501,B,1.128,↑,F→B
LENTOR,2.1.0,upgrader,2.565,D,3.514,B,0.949,↑,D→B
SENGKANG,2.1.0,forming_family,2.696,D,3.809,B,1.113,↑,D→B
SENGKANG,2.1.0,settling_single,2.548,D,3.637,B,1.089,↑,D→B
SENGKANG,2.1.0,ageing_in_place,2.777,D,3.725,B,0.948,↑,D→B
SENGKANG,2.1.0,downsizing,2.85,D,3.725,B,0.875,↑,D→B
SENGKANG,2.1.0,upgrader,2.696,D,3.44,C,0.744,↑,D→C
PUNGGOL,2.1.0,forming_family,2.737,D,3.372,C,0.635,↑,D→C
PUNGGOL,2.1.0,settling_single,2.629,D,3.631,B,1.002,↑,D→B
PUNGGOL,2.1.0,ageing_in_place,2.42,F,3.219,C,0.799,↑,F→C
PUNGGOL,2.1.0,downsizing,2.541,D,3.219,C,0.678,↑,D→C
PUNGGOL,2.1.0,upgrader,2.737,D,3.492,C,0.755,↑,D→C
YISHUN,2.1.0,forming_family,3.772,B,4.108,B+,0.336,↑,B→B+
YISHUN,2.1.0,settling_single,3.56,B,3.959,B,0.399,↑,B→B
YISHUN,2.1.0,ageing_in_place,3.791,B,3.982,B,0.191,↑,B→B
YISHUN,2.1.0,downsizing,3.918,B,3.982,B,0.064,→,B→B
YISHUN,2.1.0,upgrader,3.772,B,3.74,B,-0.032,→,B→B
HOUGANG,2.1.0,forming_family,3.964,B,4.135,B+,0.171,↑,B→B+
HOUGANG,2.1.0,settling_single,3.803,B,4.093,B+,0.29,↑,B→B+
HOUGANG,2.1.0,ageing_in_place,3.92,B,4.034,B+,0.114,↑,B→B+
HOUGANG,2.1.0,downsizing,4.03,B+,4.034,B+,0.004,→,B+→B+
HOUGANG,2.1.0,upgrader,3.964,B,3.927,B,-0.037,→,B→B
CHOA CHU KANG,2.1.0,forming_family,3.502,B,3.853,B,0.351,↑,B→B
CHOA CHU KANG,2.1.0,settling_single,3.364,C,3.708,B,0.344,↑,C→B
CHOA CHU KANG,2.1.0,ageing_in_place,3.521,B,3.714,B,0.193,↑,B→B
CHOA CHU KANG,2.1.0,downsizing,3.705,B,3.714,B,0.009,→,B→B
CHOA CHU KANG,2.1.0,upgrader,3.502,B,3.558,B,0.056,→,B→B
BUKIT BATOK,2.1.0,forming_family,3.601,B,3.881,B,0.28,↑,B→B
BUKIT BATOK,2.1.0,settling_single,3.384,C,3.743,B,0.359,↑,C→B
BUKIT BATOK,2.1.0,ageing_in_place,3.588,B,3.686,B,0.098,→,B→B
BUKIT BATOK,2.1.0,downsizing,3.799,B,3.686,B,-0.113,↓,B→B
BUKIT BATOK,2.1.0,upgrader,3.601,B,3.518,B,-0.083,→,B→B
BUKIT MERAH,2.1.0,forming_family,4.007,B+,4.116,B+,0.109,↑,B+→B+
BUKIT MERAH,2.1.0,settling_single,3.804,B,4.015,B+,0.211,↑,B→B+
BUKIT MERAH,2.1.0,ageing_in_place,4.001,B+,4.015,B+,0.014,→,B+→B+
BUKIT MERAH,2.1.0,downsizing,4.102,B+,4.015,B+,-0.087,→,B+→B+
BUKIT MERAH,2.1.0,upgrader,4.007,B+,3.812,B,-0.195,↓,B+→B
BUKIT PANJANG,2.1.0,forming_family,3.784,B,4.07,B+,0.286,↑,B→B+
BUKIT PANJANG,2.1.0,settling_single,3.57,B,4.087,B+,0.517,↑,B→B+
BUKIT PANJANG,2.1.0,ageing_in_place,3.712,B,4.017,B+,0.305,↑,B→B+
BUKIT PANJANG,2.1.0,downsizing,3.761,B,4.017,B+,0.256,↑,B→B+
